timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-04,167,2078.696485623003,0.33532934131736525,-0.6743117366092511,-112.61006001374494,,,0.3404810864526954,1.0381375508127708,-1.5382501158491901
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-05,13,1707.2359550561798,0.07692307692307693,-1.5764794468649357,-20.494232809244163,,,0.018007674637601306,0.3758211412089454,-1.739171162537759
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-05,79,1105.369513168396,0.26582278481012656,-0.6925737468510086,-54.713326001229674,,,0.30943412717270485,1.1674463165494187,-1.3660292870477149
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-06,114,1460.4662038728534,0.3157894736842105,-0.7096195064730056,-80.89662373792264,,,0.3059025751327362,0.9903543089993208,-1.4942228059217715
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-07,89,1086.2151061608074,0.2808988764044944,-0.7493784607440009,-66.69468300621608,,,0.2914514645789835,1.0973567551158703,-1.4707594044392631
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-08,104,1250.1391840932463,0.3076923076923077,-0.6475086783706797,-67.3409025505507,,,0.352938983403137,1.1478452706748712,-1.4454437668353688
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-09,101,1282.674393335748,0.39603960396039606,-0.4743893642817806,-47.91332579245984,,,0.4798759237806793,1.1051426249669554,-1.5101480457563616
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-10,101,1298.1906158357772,0.39603960396039606,-0.3676354365424083,-37.13117909078324,,,0.5555641910182335,1.160389928997061,-1.369619282797798
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-11,96,1207.8019375672766,0.46875,-0.13969012143363593,-13.41025165762905,,,0.7998720537298061,1.1910697613792631,-1.313890018033253
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2025-12,170,2044.1975308641977,0.3588235294117647,-0.511465808436627,-86.9491874342266,,,0.4392357914943679,1.1164856050036103,-1.4225211866004295
