timeframe,param_id,exit_model,friction_case,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.65,model_b,base,3.0,3.0,2.0,0.8,0.2,0.65,True,1.2,2.0,1171,-0.3573401506461125,-418.4453164065978,-421.3998431255372,0.6029641979865633,1157,-0.39036253347695765,-451.64945123284,-459.01776601574454,0.5686156673199567,-0.03302238283084513,-14
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.65,model_b,stress,3.0,3.0,2.0,0.8,0.2,0.65,True,1.2,2.0,1172,-0.8365684247003653,-980.4581937488282,-978.5163934790407,0.31853269494506087,1157,-0.8704856283455308,-1007.1518719957792,-1009.4165666500649,0.294326763059702,-0.033917203645165483,-15
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,2172,-0.19896468285881136,-432.15129116933826,-455.4356575770689,0.7068815872582987,2042,-0.23518490855141871,-480.247583261997,-497.04282702594196,0.6534912397408417,-0.036220225692607355,-130
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,stress,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,2173,-0.4140019229231726,-899.6261785120541,-916.4635752393356,0.4897154401787252,2050,-0.4593441388985601,-941.6554847420482,-955.2671967197685,0.4404339415924421,-0.045342215975387457,-123
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_b,base,1.5,1.5,1.5,0.7,0.3,0.5,True,1.2,2.0,2064,-0.15045980356643235,-310.54903456111634,-339.8659368696448,0.779415239674711,1953,-0.18987222310659888,-370.8204517271876,-390.6015300228052,0.7174699918400638,-0.03941241954016653,-111
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_b,stress,1.5,1.5,1.5,0.7,0.3,0.5,True,1.2,2.0,2068,-0.3257666028557406,-673.6853347056716,-693.2875572216651,0.5899274805085372,1960,-0.3918274432337977,-767.9817887382435,-777.9738481307635,0.5090100649412724,-0.0660608403780571,-108
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,1824,-0.16088333322569098,-293.45119980366036,-323.1549458693345,0.756640833543755,1741,-0.22828336527634663,-397.44133894611946,-420.504125274497,0.6612423936310783,-0.06740003205065564,-83
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,stress,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,1824,-0.3719345062614557,-678.4085394208952,-693.9981946479289,0.5278600099764941,1745,-0.4491901777956147,-783.8368602533477,-796.2002699511464,0.44878512640032026,-0.07725567153415902,-79
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_b,base,1.5,1.5,1.5,0.7,0.3,0.65,True,1.2,2.0,1750,-0.11904659110704217,-208.3315344373238,-245.93361635022973,0.8208224852026073,1684,-0.19730522919528906,-332.2620059648668,-361.0021324279206,0.7048908711706031,-0.07825863808824689,-66
1h,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_b,stress,1.5,1.5,1.5,0.7,0.3,0.65,True,1.2,2.0,1753,-0.2939946180972476,-515.372565524475,-542.7136953973643,0.6202990814658188,1689,-0.40176400847106347,-678.5794103076262,-687.5221642045831,0.49549920260461855,-0.10776939037381589,-64
