symbol,timeframe,param_id,exit_model,friction_case,entry_mode,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,volume_z,candle_return,body_pct,close_location,gross_r,fee_r,net_r,exit_reason,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,atr_period,volume_z_lookback,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 01:15:00+00:00,short,22.672,22.660664,22.461914,22.473144957,22.793164,22.461914,0.13250000000000003,0.13250000000000003,4.93424618589683,-0.01597610079231068,0.7469635627530363,0.1923076923076973,1.4152380603773715,0.13625300817207545,1.2789850522052961,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BNBUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 01:15:00+00:00,short,662.95,662.6185250000001,664.5649535714286,664.8972360482143,664.5649535714286,659.6988821428572,1.9464285714286038,1.9464285714286038,3.5449921500574484,-0.005440484397949695,0.6379613356766315,0.1950790861159974,-1.1707139330274476,0.2728105784172432,-1.4435245114446908,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ETHUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 01:15:00+00:00,short,2485.58,2484.33721,2496.9557814285718,2498.204259319286,2496.9557814285718,2465.409352857143,12.618571428571451,12.618571428571451,11.465296518811343,-0.015469674308106907,0.6758620689655142,0.2549999999999994,-1.0989397173666977,0.15794312367365534,-1.256882841040353,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ADAUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 01:30:00+00:00,short,0.7361,0.73573195,0.7397248071428572,0.7400946695464286,0.7397248071428572,0.7297426642857143,0.003992857142857147,0.003992857142857147,7.023350893311277,-0.013254786450662765,0.707142857142858,0.21428571428571427,-1.0926310134168038,0.14784667387227174,-1.2404776872890755,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
XRPUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 01:30:00+00:00,short,2.3045,2.30334775,2.3124334642857143,2.313589681017857,2.3124334642857143,2.2897191785714286,0.009085714285714268,0.009085714285714268,9.743133287533313,-0.011540111540111508,0.8251533742331274,0.10122699386502645,-1.1272565585691905,0.20326139633411988,-1.3305179549033104,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LINKUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 02:30:00+00:00,short,15.194,15.186403000000002,15.271974428571431,15.279610415785715,15.271974428571431,15.05804585714286,0.08557142857142848,0.08557142857142848,5.665058462755785,-0.01014172409309575,0.5756457564575584,0.22878228782288185,-1.0892352429048278,0.14241208274490835,-1.2316473256497362,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 02:30:00+00:00,short,94.82,94.77259,95.18830428571428,95.23589843785713,95.18830428571428,94.14901857142857,0.41571428571428726,0.41571428571428726,3.78631280240826,-0.010317873892652518,0.7333333333333432,0.22962962962962175,-1.1144876512027304,0.18282603698487904,-1.2973136881876095,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 08:00:00+00:00,2025-05-25 08:15:00+00:00,2025-05-25 08:45:00+00:00,short,22.289,22.2778555,22.133748357142856,22.144815231321427,22.37392692857143,22.133748357142856,0.096071428571429,0.096071428571429,2.868712245765997,-0.006367724985527928,0.8614457831325323,0.12650602409639006,1.3848057706319896,0.18495684468059398,1.1998489259513956,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BNBUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 08:15:00+00:00,2025-05-25 08:30:00+00:00,2025-05-25 08:45:00+00:00,short,659.02,658.6904900000001,656.8347757142858,657.1631931021429,659.927632857143,656.8347757142858,1.2371428571428607,1.2371428571428607,1.5848808646187713,-0.002164665990524006,0.6651162790697689,0.1813953488371953,1.234535598729776,0.4254492277928395,0.8090863709369365,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ADAUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 14:30:00+00:00,2025-05-25 14:45:00+00:00,2025-05-25 15:00:00+00:00,short,0.7431,0.74272845,0.7375748785714286,0.7379436660107143,0.7461641642857143,0.7375748785714286,0.0034357142857142802,0.0034357142857142802,2.4260755804240444,-0.011063716342308683,0.9431818181818239,0.03409090909090565,1.3926606205821255,0.1723859428203745,1.220274677761751,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LINKUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 14:30:00+00:00,2025-05-25 14:45:00+00:00,2025-05-25 15:00:00+00:00,short,15.109,15.1014455,15.002874071428572,15.010375508464286,15.167159785714286,15.002874071428572,0.06571428571428571,0.06571428571428571,1.5139021122875242,-0.007955292570677215,0.8962962962963009,0.0666666666666693,1.3858476972826186,0.18328934526891305,1.2025583520137055,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BNBUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 14:30:00+00:00,2025-05-25 14:45:00+00:00,2025-05-25 15:15:00+00:00,short,664.69,664.3576550000001,662.1483692857144,662.4794434703572,665.8305121428573,662.1483692857144,1.4728571428571513,1.4728571428571513,1.5135580828616635,-0.004588875725447354,0.8921282798834121,0.04956268221573223,1.2752163634821145,0.3603437318833152,0.9148726315987994,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
XRPUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:00:00+00:00,2025-05-25 15:15:00+00:00,2025-05-25 15:30:00+00:00,short,2.2684,2.2672658,2.2745515142857142,2.275688790042857,2.2745515142857142,2.2563372285714287,0.007285714285714213,0.007285714285714213,1.6334241093025503,-0.004452592980618022,0.7445255474452358,0.13868613138686178,-1.1560966725490058,0.24941711474745348,-1.4055137872964594,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:30:00+00:00,2025-05-25 15:45:00+00:00,2025-05-25 16:15:00+00:00,long,22.252,22.263125999999996,22.134197428571426,22.12313032985714,22.134197428571426,22.456518857142854,0.12892857142857192,0.12892857142857192,2.5529496900839193,0.00806415077243695,0.835680751173709,0.8967136150234819,-1.085838992797769,0.13770805287933463,-1.2235470456771036,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:15:00+00:00,2025-05-25 15:30:00+00:00,2025-05-25 16:15:00+00:00,short,107090.2,107036.65490000001,106670.30132857144,106723.63647923572,107280.89061428572,106670.30132857144,244.23571428571344,244.23571428571344,4.893293644683974,-0.004354909250964934,0.7354330708661417,0.22062992125985167,1.2816242771035176,0.3500885069235587,0.9315357701799589,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ETHUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:30:00+00:00,2025-05-25 15:45:00+00:00,2025-05-25 16:15:00+00:00,long,2510.47,2511.725235,2501.0716635714284,2499.8211277396426,2501.0716635714284,2527.705592142857,10.65357142857137,10.65357142857137,1.9490133656566475,0.006189810125564756,0.6766256590509642,0.8066783831282931,-1.1173818414012902,0.18816399350547874,-1.305545834906769,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LINKUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:15:00+00:00,2025-05-25 15:30:00+00:00,2025-05-25 16:15:00+00:00,short,15.019,15.0114905,14.898347642857143,14.90579681667857,15.086919071428571,14.898347642857143,0.0754285714285715,0.0754285714285715,6.982432761789335,-0.006732884474368315,0.623456790123448,0.2901234567901257,1.4012420137310801,0.15865228122481048,1.2425897325062696,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:30:00+00:00,2025-05-25 15:45:00+00:00,2025-05-25 16:15:00+00:00,long,94.29,94.337145,93.89357357142858,93.84662678464287,93.89357357142858,95.00250214285715,0.4435714285714291,0.4435714285714291,1.6775690394956664,0.007712082262210785,0.8000000000000063,0.9111111111111122,-1.1058381666666626,0.16969873139999983,-1.2755368980666624,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ADAUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:15:00+00:00,2025-05-25 15:30:00+00:00,2025-05-25 16:45:00+00:00,short,0.7397,0.73933015,0.7434872928571429,0.7438590365035714,0.7434872928571429,0.7330944357142858,0.0041571428571428514,0.0041571428571428514,4.475189820571169,-0.008266702805258158,0.6931818181818151,0.17045454545455133,-1.0894228702749127,0.1427123615879727,-1.2321352318628853,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
SOLUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 15:15:00+00:00,2025-05-25 15:30:00+00:00,2025-05-25 17:15:00+00:00,short,170.34,170.25483000000003,171.05983000000003,171.14535991500003,171.05983000000003,169.04733000000002,0.8049999999999987,0.8049999999999987,6.397149830296715,-0.006333196505013854,0.6242774566474097,0.23121387283235817,-1.106248341614911,0.16963984592049722,-1.2758881875354082,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 22:00:00+00:00,2025-05-25 22:15:00+00:00,2025-05-25 22:30:00+00:00,long,22.876,22.887438,23.035509428571427,23.023991673857143,22.788723714285716,23.035509428571427,0.09871428571428531,0.09871428571428531,5.842630887298349,0.017015765262828827,0.7003676470588234,0.7573529411764681,1.3833223111432835,0.1860376310952251,1.1972846800480585,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LINKUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 22:00:00+00:00,2025-05-25 22:15:00+00:00,2025-05-25 22:30:00+00:00,long,15.294,15.301646999999999,15.39957557142857,15.391875783642858,15.236361285714285,15.39957557142857,0.06528571428571439,0.06528571428571439,2.447179266170073,0.012153815501095825,0.6079734219269094,0.7209302325581409,1.3820601433260626,0.18805659473566708,1.1940035485903955,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 22:00:00+00:00,2025-05-25 22:15:00+00:00,2025-05-25 22:45:00+00:00,long,108283.1,108337.24155,108642.14869285715,108587.82761851072,108133.97012142857,108642.14869285715,203.27142857142982,203.27142857142982,6.246053277752357,0.008472461706335166,0.6747238081115162,0.7596203751760972,1.2327658159919999,0.4268678007392131,0.8058980152527868,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 22:00:00+00:00,2025-05-25 22:15:00+00:00,2025-05-25 22:45:00+00:00,long,95.0,95.0475,95.54357142857143,95.49579964285715,94.71678571428572,95.54357142857143,0.33071428571428335,0.33071428571428335,1.9262143724167877,0.009267149552620415,0.6541353383458689,0.7518796992481213,1.3555496760259524,0.2304627382289434,1.125086937797009,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 22:45:00+00:00,2025-05-25 23:00:00+00:00,2025-05-25 23:15:00+00:00,long,23.304,23.315651999999996,23.160937714285712,23.149357245428572,23.160937714285712,23.547723428571423,0.1547142857142855,0.1547142857142855,2.421728588924258,0.006421583415937634,0.541818181818188,0.7418181818181879,-1.074850675900253,0.12013114117008326,-1.1949818170703361,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
SOLUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-26 00:30:00+00:00,2025-05-26 00:45:00+00:00,2025-05-26 01:00:00+00:00,long,177.47,177.55873499999998,176.5280207142857,176.43975670392857,176.5280207142857,179.1048064285714,1.0307142857142861,1.0307142857142861,2.283829667228588,0.00860055818192185,0.8296703296703434,0.8296703296703434,-1.0856338284823182,0.13737987204033258,-1.2230137005226507,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ETHUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-26 00:45:00+00:00,2025-05-26 01:00:00+00:00,2025-05-26 02:45:00+00:00,long,2558.98,2560.25949,2546.1894899999998,2544.9163952549998,2546.1894899999998,2581.36449,14.069999999999968,14.069999999999968,2.0443237727176315,0.006093909612878113,0.7178423236514371,0.860304287690171,-1.0904829243070489,0.1451364857215355,-1.2356194100285844,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
