entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,window,window_start,window_end
next_close,scaled_exit_6_12,base,12,4.0,5.0,275,91.64575729927007,1.6040205004306696,1.0378020141925373,0.6727272727272727,4.411056376184341,-0.853050066585539,5.027091234674757,5.291264776807679,11,3.8140613147033866,-2.9388411733521407,2025-10,2025-02,0.31865161034012074,XRPUSDT,BTCUSDT,0.1786491781742159,0.7083333333333334,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,275,91.64575729927007,2.4211172150276314,1.5596481606829382,0.72,6.658072341325987,-0.8908063310270427,6.91836182940044,5.803351699236552,9,4.590176202610479,-3.156463038756832,2024-04,2025-02,0.16659790789118833,XRPUSDT,BTCUSDT,0.18275008819303223,0.875,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,275,91.64575729927007,1.4223872457409577,0.8567346953041445,0.6436363636363637,3.9115649257876335,-0.8738010466044337,4.462302386106471,5.285976153698114,15,3.7977443935371684,-2.867798623237914,2025-10,2025-02,0.3465562365359768,XRPUSDT,LTCUSDT,0.18285058739533053,0.6666666666666666,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,stress,12,8.0,10.0,275,91.64575729927007,2.2386672715593674,1.3780592561800686,0.7090909090909091,6.15633499678826,-1.0159369939299019,6.403409867906139,5.797551244864275,9,4.47503244824299,-3.212472846606961,2024-04,2025-02,0.1682982232206668,XRPUSDT,BTCUSDT,0.185749335982001,0.8333333333333334,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,54,54.036986301369865,0.3143248456343154,0.04582805999539204,0.5,0.16973541664253033,-0.2008845738619046,1.174706646126178,1.9662836364010685,11,1.8751132435487476,-1.2464635522801173,2023-08,2023-06,1.9211667665148318,XRPUSDT,ADAUSDT,0.33518330321213186,0.375,0.8888888888888888,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,54,54.036986301369865,2.621541231270667,1.1802617734819745,0.7962962962962963,1.4156322648861603,-0.07156838413656225,4.256732574619968,4.5256108367488705,3,3.5593432305462005,-1.0444120386246019,2023-08,2023-01,0.7584534479734412,XRPUSDT,BNBUSDT,0.1930748780267873,0.875,1.0,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,54,54.036986301369865,0.13398064271803933,-0.13424778018242917,0.48148148148148145,0.07234954706774124,-0.23668979657929412,0.501218470015552,1.964318334432999,15,1.7611634343662468,-1.3769748066695815,2023-08,2023-06,4.129391560446431,XRPUSDT,ADAUSDT,0.636269518112675,0.375,0.6666666666666666,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,54,54.036986301369865,2.438890963847974,0.9990520659573777,0.7407407407407407,1.317001120477906,-0.08409895393281254,3.964115991408126,4.5210874853261585,4,3.635627571164868,-0.9803564856288648,2023-08,2023-01,0.7939351726632764,XRPUSDT,BNBUSDT,0.19912514433433715,0.875,1.0,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_6,base,6,4.0,5.0,54,54.036986301369865,0.24275523194131118,0.24079470313096654,0.6111111111111112,0.13108782524830803,-0.19260779248669496,1.0181987261637557,1.7519952697865386,11,1.2650599549930144,-1.3637236185685084,2023-08,2023-06,2.0653949245108594,XRPUSDT,AVAXUSDT,0.38134005321290915,0.625,0.7777777777777778,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_6,base,6,4.0,5.0,54,54.036986301369865,2.543732576082793,1.3017952750013853,0.8333333333333334,1.373615591084708,-0.07450939906436674,4.337375700807327,4.309642938474388,3,3.32347537334889,-1.3549814102476971,2023-08,2023-03,0.7390983731927268,XRPUSDT,BNBUSDT,0.1938500113534854,0.875,1.0,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
