entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,window,window_start,window_end
next_close,scaled_exit_6_12,base,12,4.0,5.0,LTCUSDT,22,7.331660583941606,1.0831794384703561,1.1240722972235297,0.6363636363636364,0.23829947646347835,-0.12793161462953223,1.2168812919290444,4.175067808680138,2,3.2559867028669807,-2.7192332742237397,2024-04,2025-02,0.5122260673074667,LTCUSDT,LTCUSDT,0.9999999999999998,0.7692307692307693,1.0,0.6363636363636364,2,1.8500000000000014,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,BNBUSDT,13,4.3323448905109485,2.9917532295475184,0.36960667487871085,0.6923076923076923,0.38892791984117736,-0.018277130844922884,2.5555717896832095,4.220941754097903,2,4.5932201599017315,-0.6115473637494628,2025-10,2024-07,0.3217009322124076,BNBUSDT,BNBUSDT,1.0,0.7777777777777778,1.0,0.6538461538461539,2,1.75,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,SOLUSDT,25,8.331432481751824,3.5602131338336243,1.6297101647926935,0.72,0.8900532834584061,-0.07268297041179606,3.3823743187370563,5.262890499894422,3,5.522979786806645,-1.4869011166684265,2024-08,2026-01,0.3842546979524665,SOLUSDT,SOLUSDT,1.0,0.8461538461538461,1.0,0.9,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,ADAUSDT,32,10.664233576642335,2.914204933556664,2.421180248786905,0.65625,0.9325455787381326,-0.2953567104473035,1.9150808199404554,8.608113240251784,4,6.731995819983615,-4.374304940531147,2024-04,2025-02,0.3215092412699024,ADAUSDT,ADAUSDT,1.0,0.7647058823529411,1.0,1.09375,5,3.8499999999999943,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,AVAXUSDT,35,11.664005474452553,3.049231627966833,3.058478350995366,0.6857142857142857,1.0672310697883916,-0.19581002537084935,3.1610951133628897,5.706724075445938,4,5.863492161647251,-3.090973172790442,2024-04,2025-02,0.4031074275226052,AVAXUSDT,AVAXUSDT,1.0,0.875,1.0,1.0714285714285714,5,3.549999999999997,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,LINKUSDT,29,9.664461678832117,2.354989283231068,0.6475937490742179,0.5517241379310345,0.6829468921370098,-0.3093677241100681,1.5872910350290164,7.989716522907865,5,6.9688493296300225,-3.323607696952261,2024-04,2025-02,0.32643891887277426,LINKUSDT,LINKUSDT,1.0000000000000002,0.75,1.0,1.0862068965517242,5,4.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,XRPUSDT,27,8.99794708029197,2.8546392324811003,1.8564245321433102,0.8518518518518519,0.7707525927698972,-0.0803298541680052,2.7336902202833806,5.426050272174743,1,4.165119058065015,-4.680619764626407,2025-10,2025-04,0.22548296471015786,XRPUSDT,XRPUSDT,1.0000000000000002,0.9285714285714286,1.0,0.7962962962962963,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,BTCUSDT,6,1.9995437956204378,3.8242468120853053,3.19466977844117,1.0,0.2294548087251183,0.0,2.760512939275942,3.393374183035426,0,3.8242468120853053,0.0,2026-02,2025-03,0.35116938218141114,BTCUSDT,BTCUSDT,1.0,1.0,1.0,0.5,1,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,ETHUSDT,15,4.998859489051094,2.263937425862091,1.021076249366273,0.7333333333333333,0.33959061387931366,-0.01568882471354091,2.27504789928394,3.854069160468802,1,3.4265587952290026,-0.9332713398969159,2023-08,2024-07,0.37702701835363983,ETHUSDT,ETHUSDT,1.0,0.7,1.0,0.5666666666666667,2,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,LTCUSDT,22,7.331660583941606,2.4846126914606494,1.415932177942194,0.7272727272727273,0.5466147921213429,-0.11194753137238606,2.3785098582594677,4.899650293487678,2,4.383312237569408,-2.5785860981627042,2024-04,2025-02,0.2914243782646158,LTCUSDT,LTCUSDT,1.0000000000000002,0.7692307692307693,1.0,0.6363636363636364,2,1.8500000000000014,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,BNBUSDT,13,4.3323448905109485,2.8946536320130183,1.7007531221406573,0.7692307692307693,0.3763049721616924,-0.01737141213217154,2.5177691349467506,4.145265723559575,2,4.271259857177072,-1.6940337852004927,2025-10,2023-06,0.3639277790438011,BNBUSDT,BNBUSDT,0.9999999999999999,0.8888888888888888,1.0,0.6538461538461539,2,1.75,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,SOLUSDT,25,8.331432481751824,2.1220321929412327,0.9041373996142067,0.56,0.5305080482353082,-0.10726660062972088,1.993096800448404,5.323454918155056,3,5.696307070059602,-2.427044923391238,2024-08,2025-02,0.535724153110069,SOLUSDT,SOLUSDT,1.0,0.6153846153846154,1.0,0.9,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,ADAUSDT,32,10.664233576642335,2.4192804904093896,1.9389416530836694,0.65625,0.7741697569310046,-0.29072130471275326,1.6423142136670865,8.333068671632745,3,5.9523526426926185,-4.325675436676776,2025-10,2025-02,0.577150971208656,ADAUSDT,ADAUSDT,1.0,0.6470588235294118,1.0,1.0625,5,3.8499999999999943,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,AVAXUSDT,35,11.664005474452553,1.8213651131239506,1.3160737783350185,0.6857142857142857,0.6374777895933827,-0.2438638884917162,2.0196107016773723,5.335355627916891,5,4.426266872285903,-3.8620569068657606,2024-04,2025-02,0.6419993503720837,AVAXUSDT,AVAXUSDT,1.0,0.8125,1.0,1.042857142857143,5,3.549999999999997,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,LINKUSDT,29,9.664461678832117,2.0186679293397245,1.1693680606114576,0.6551724137931034,0.5854136995085202,-0.2612208586694353,1.5251264001875617,7.127841658917225,2,4.949134449564202,-3.549218459086782,2025-10,2025-02,0.5730891502112758,LINKUSDT,LINKUSDT,1.0,0.6875,1.0,1.0862068965517242,5,4.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,XRPUSDT,27,8.99794708029197,2.5969425325889635,2.0410432736541964,0.7037037037037037,0.7011744837990201,-0.10159798267646769,2.4985368538709327,5.40080455945082,2,4.6390919427639625,-2.2531623165766597,2025-10,2024-11,0.3622046791987813,XRPUSDT,XRPUSDT,0.9999999999999999,0.7142857142857143,1.0,0.7962962962962963,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
