feature,bucket,trade_count,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,contribution_to_total_return,best_month,worst_month
simultaneous_drop_bucket,3-4 symbols,44,0.5839111717207245,0.38265543382494,0.5681818181818182,0.25692091555711877,0.116232394543584,2025-10,2025-11
simultaneous_drop_bucket,1 symbol,52,-0.325523272417356,-0.16889389664833998,0.4807692307692308,-0.1692721016570251,-0.0765796029581985,2025-12,2025-10
simultaneous_drop_bucket,2 symbols,22,-1.220831532965877,-0.9070328081982049,0.36363636363636365,-0.26858293725249294,-0.12150835545137241,2026-04,2026-02
symbol,LINKUSDT,55,1.1627629028865496,0.26606297373328996,0.509090909090909,0.6395195965876023,0.28932208149631217,2025-10,2025-12
symbol,ADAUSDT,60,0.8959002699548404,0.029047787826115005,0.5166666666666667,0.5375401619729042,0.24318604055249118,2025-10,2025-12
symbol,AVAXUSDT,46,0.6558221475743592,0.316621748811685,0.6086956521739131,0.30167818788420525,0.13648082361575886,2025-10,2025-06
symbol,XRPUSDT,41,0.6636746372547295,0.39084755572625995,0.6341463414634146,0.2721066012744391,0.12310247987658614,2025-10,2026-02
symbol,BNBUSDT,22,1.0239275804741597,0.29761232599952003,0.5,0.22526406770431512,0.1019106674796181,2025-10,2025-12
symbol,ETHUSDT,41,0.3709574721896311,0.26108575906894,0.5853658536585366,0.15209256359774875,0.06880748817551398,2025-10,2025-12
symbol,BTCUSDT,5,0.9985123063487559,0.39193091329710994,0.6,0.0499256153174378,0.02258661504776364,2026-02,2026-01
symbol,SOLUSDT,47,0.0681730563331362,0.02556334669531,0.5319148936170213,0.032041336476574006,0.014495671771109287,2025-05,2026-01
symbol,LTCUSDT,50,0.00047803142414704763,-0.269068900696915,0.44,0.00023901571207352382,0.00010813198484678888,2025-10,2025-11
