entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-01,41,596.0298507462686,0.03407735338437587,0.2551448049730227,0.5853658536585366,0.013971714887594106,-0.45851382794952766,-18.799066945930633,-0.2866404753481872,-52.185641936002725,6,1.0303027884364044,1.9793416094002356,-2.712178066873308,XRPUSDT,SOLUSDT,2026-01,2026-01,3.147105127816531,1.0000000000000004
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-02,43,597.1295049504951,0.6926477741665747,-0.5168115105261178,0.3953488372093023,0.29783854289162714,-0.7144677383792692,-30.72211275030858,-0.380253685596323,-41.718874309998576,14,1.5446172696449094,4.968913708739023,-2.103372259976949,XRPUSDT,LTCUSDT,2026-02,2026-02,0.2418812981853236,1.0
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-03,7,139.69721115537848,0.5367997108060952,0.43825080726364507,0.8571428571428571,0.03757597975642667,2.446339188787782,17.124374321514473,-0.0010222813913931764,-0.42315395862074645,1,37.75698303107885,0.6433043524636639,-0.10222813913931762,ADAUSDT,SOLUSDT,2026-03,2026-03,0.3987259153247045,1.0
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-04,7,112.17915904936015,-0.40438260936059256,-0.8023380762021338,0.2857142857142857,-0.028306782655241478,-1.4114720175660376,-9.880304122962263,-0.0330069548545151,-8.26594652949842,5,0.5388952579669228,1.6541134313595613,-1.2277810256486543,ADAUSDT,AVAXUSDT,2026-04,2026-04,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-05,40,706.5793450881612,0.47774249837424404,0.5121459217134349,0.75,0.19109699934969762,0.7738891928545051,30.955567714180205,-0.06404213095305761,-6.056591470291246,5,3.375656391852523,0.9051222075310537,-0.8043966290961854,SOLUSDT,LINKUSDT,2025-05,2025-05,0.24735042428026388,1.0
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-06,25,537.7914110429448,-0.3466650539499096,-0.8185810035477223,0.36,-0.0866662634874774,-0.6631146004512253,-16.577865011280633,-0.1601926713400345,-25.617413725142246,7,0.5845393823923621,1.3548508166119653,-1.3037677311409641,ETHUSDT,ADAUSDT,2025-06,2025-06,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-07,23,667.0570719602978,-0.15051685337715892,-0.6250967699632388,0.43478260869565216,-0.03461887627674655,-0.1822862689328577,-4.192584185455727,-0.13392661832714683,-15.036676867987293,13,0.7415086208465154,0.9930774205040029,-1.030204756362668,XRPUSDT,ADAUSDT,2025-07,2025-07,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-08,15,236.174225415357,-0.38763979021300243,-0.28765365891758293,0.3333333333333333,-0.058145968531950365,-0.4262208145027223,-6.393312217540835,-0.07007719706024096,-7.989440471832503,4,0.36895041512862675,0.6799142172731772,-0.9214167939560924,ETHUSDT,ADAUSDT,2025-08,2025-08,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-09,9,147.5343618513324,-0.564223826178348,-0.3596403596403529,0.3333333333333333,-0.05078014435605131,-1.1849488256330725,-10.664539430697653,-0.05800481728719978,-12.117747724603158,4,0.15066313120013808,0.3002615268657915,-0.9964665027004176,ADAUSDT,LTCUSDT,2025-09,2025-09,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-10,45,594.3050847457627,-0.6629216217413121,0.3220368914824904,0.5333333333333333,-0.2983147297835904,-1.0347227801087107,-46.56252510489198,-0.5307708908202964,-61.17674073716897,10,0.5432657426676207,1.4784688855609707,-3.1102250586582074,SOLUSDT,LTCUSDT,2025-10,2025-10,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-11,30,613.0069930069931,0.5108764458870843,-0.06701870882059267,0.43333333333333335,0.15326293376612526,0.42565942576497473,12.769782772949242,-0.17065568343016185,-18.432005748079902,9,1.5689181155263865,3.2512045726260626,-1.5846685922074284,BNBUSDT,LTCUSDT,2025-11,2025-11,0.34244974676608403,1.0
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-12,18,214.24032586558044,-1.8124113989852073,-2.2913783246717916,0.1111111111111111,-0.3262340518173373,-2.274365915778994,-40.93858648402189,-0.29502818544610476,-35.45761351241309,11,0.16039153568730624,3.1160465138538433,-2.4284686380900884,AVAXUSDT,ADAUSDT,2025-12,2025-12,,
