entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,XRPUSDT,34,45.33505723086283,0.5657790137658948,-0.8687665749852868,0.29411764705882354,0.19236486468040423,-0.04509432796343266,-1.5332071507567104,-0.12255846632552034,-13.408327569343866,9,1.6639165338635424,4.821074074078338,-1.207260594697623,XRPUSDT,XRPUSDT,2025-10,2025-07,1.0000000000000002,1.1148001795241205
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,ETHUSDT,38,41.10161021654636,-0.3412436683643701,-0.7637668794792268,0.18421052631578946,-0.12967259397846065,-0.8262253352442613,-31.396562739281933,-0.18026831398811974,-31.900233582945198,16,0.537127874900617,2.149645382128146,-0.903702486217519,ETHUSDT,ETHUSDT,2026-02,2026-01,,
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,SOLUSDT,43,46.736059018629305,-0.13117040001049257,-0.8447901445182469,0.27906976744186046,-0.056403272004511805,-0.3727613650480521,-16.028738697066238,-0.12344559561952305,-20.44628178355355,6,0.8357617818261687,2.391835653695807,-1.1078179046709957,SOLUSDT,SOLUSDT,2026-02,2026-01,,
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,BNBUSDT,18,48.636202512136855,-0.2522566668062189,-0.7525936399784556,0.16666666666666666,-0.0454062000251194,-0.4799377210699589,-8.63887897925926,-0.11157507027603293,-10.026703542471822,10,0.7222019249412202,3.93480589038983,-1.0896691782454286,BNBUSDT,BNBUSDT,2026-02,2025-10,,
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,BTCUSDT,4,12.367163389471829,0.6431558649817901,-0.6300097440903071,0.25,0.025726234599271605,-0.4893306057036467,-1.957322422814587,-0.01787785343526686,-3.1781619756082655,3,2.026829321030945,5.078028601011587,-0.835135047028142,BTCUSDT,BTCUSDT,2026-02,2025-10,1.0,1.4897799883300018
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,ADAUSDT,55,56.52500146550208,0.2713434445426213,-0.8216000640723895,0.2545454545454545,0.14923889449844174,-0.3396130288045387,-18.678716584249628,-0.17463570627689132,-23.654837381541753,14,1.3238374745197607,4.357742402506171,-1.1240122972010296,ADAUSDT,ADAUSDT,2025-10,2026-02,0.9999999999999998,2.962175128439184
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,ETHUSDT,39,42.18323153803443,-0.3404834226225194,-0.7831067789825606,0.15384615384615385,-0.13278853482278258,-0.8379281445425946,-32.67919763716119,-0.1702994215414395,-33.91747524499718,13,0.5958478452520007,3.2628702424239218,-0.995638634449145,ETHUSDT,ETHUSDT,2025-10,2025-06,,
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,LINKUSDT,48,51.91462060456508,0.43865087572570693,-0.906452558482811,0.2916666666666667,0.21055242034833935,-0.2262923572595119,-10.862033148456572,-0.14596866875825426,-19.58270540307572,7,1.542443413178031,4.2764854888243535,-1.1416339649619702,LINKUSDT,LINKUSDT,2025-10,2026-02,0.9999999999999996,1.9653810700993017
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,AVAXUSDT,39,40.08136467553784,0.12510597154958672,-0.8313534947244097,0.2564102564102564,0.04879132890433882,-0.36417486664908694,-14.20281979931439,-0.12908760269649286,-20.749184398345804,12,1.1588931745079467,3.5586134028420853,-1.0588621082064473,AVAXUSDT,AVAXUSDT,2025-10,2026-02,1.0000000000000002,4.3825243300835
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,LTCUSDT,44,54.495284518385084,-0.6017159870726194,-0.8974515184862416,0.25,-0.2647550343119526,-0.5576415406662382,-24.53622778931448,-0.3208898971455169,-33.23379590627259,10,0.3317050328133594,1.1946354890355133,-1.2004998124419972,LTCUSDT,LTCUSDT,2025-05,2025-11,,
