entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-09,9,147.5343618513324,-0.7226031261442415,-0.9984625244287646,-0.06503428135298174,0.2222222222222222,0.6260283897721975,-3.4627972370734788,-14.020141565882106,-0.054802278395890955,-5.480227839589095,2025-09-01T21:30:00+00:00,2025-09-24T04:00:00+00:00,6,0.18912536991127166,-0.9830969821601023,0.0,0.16666666666666666,2025-09,2025-09,XRPUSDT,SOLUSDT,,,1.6111111111111112,5
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-10,83,1096.1627118644067,1.9912593766519504,0.7825758114857664,1.6527452826211189,0.6144578313253012,7.159518367795503,2.5338626647621503,9.208344074455315,-0.6222052650409932,-62.22052650409932,2025-10-10T09:45:00+00:00,2025-10-10T22:00:00+00:00,21,4.743905977366848,-2.3957711432374187,1.0,0.8888888888888888,2025-10,2025-10,LINKUSDT,BTCUSDT,0.9999999999999999,0.2873590430470281,8.801204819277109,28
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-11,31,633.4405594405595,0.31048085910514633,-1.137200639788358,0.09624906632259536,0.3548387096774194,3.188589844298432,0.5421469511851987,2.4506941093785723,-0.202883408225007,-20.2883408225007,2025-11-09T15:00:00+00:00,2025-11-21T15:30:00+00:00,12,3.9593108435263376,-1.6963756323265098,1.0,0.75,2025-11,2025-11,XRPUSDT,LTCUSDT,0.9999999999999991,0.39674874496930385,2.0483870967741935,7
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-12,19,226.14256619144604,-0.8086907062300932,-1.172077611543074,-0.15365123418371773,0.15789473684210525,1.8581023319242824,-1.8970973796620576,-6.544914564209912,-0.17751665220494817,-17.751665220494818,2025-12-07T17:30:00+00:00,2025-12-18T20:15:00+00:00,10,2.782007391710142,-1.4819465995938874,0.0,0.125,2025-12,2025-12,ETHUSDT,ADAUSDT,,,2.4473684210526314,7
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2026-01,49,712.3283582089551,-0.09136467589410097,-0.7910588504882332,-0.04476869118810947,0.3469387755102041,2.28646459029749,-0.2797125019878374,-1.066483044139763,-0.3934327308928905,-39.34327308928905,2026-01-21T19:45:00+00:00,2026-01-31T18:30:00+00:00,21,2.35960780535407,-1.3934438065571917,0.0,0.3333333333333333,2026-01,2026-01,AVAXUSDT,SOLUSDT,,,3.010204081632653,9
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2026-02,50,694.3366336633663,0.32281990112295533,-0.8711574467671988,0.16140995056147767,0.36,3.4413411226649515,0.6633115783919822,2.47182440459137,-0.47137351981026787,-47.13735198102679,2026-02-02T06:30:00+00:00,2026-02-05T23:30:00+00:00,13,4.0821259927576765,-1.7917897754215755,1.0,0.7777777777777778,2026-02,2026-02,ETHUSDT,ADAUSDT,0.9999999999999998,0.2272072173086456,4.66,14
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2026-03,7,139.69721115537848,0.9786527096697337,1.1752196716432375,0.06850568967688137,0.8571428571428571,0.7406405780888564,3.4959895073085927,15.617624206737457,0.0,0.0,2026-03-03T19:45:00+00:00,2026-03-03T19:45:00+00:00,1,1.2302837782740466,-0.5311337019561413,1.0,1.0,2026-03,2026-03,ADAUSDT,SOLUSDT,1.0,0.3451194773467757,1.9285714285714286,5
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2026-04,7,112.17915904936015,0.1802878180266149,-0.2771290619281585,0.012620147261863043,0.2857142857142857,1.0828140680904805,0.4405158235098149,1.7634720593900126,-0.013860082924319752,-1.3860082924319752,2026-04-07T01:00:00+00:00,2026-04-12T04:45:00+00:00,5,1.739948453015274,-0.4435764359688487,1.0,0.4,2026-04,2026-04,ADAUSDT,ETHUSDT,1.0000000000000002,1.3447437414094983,1.5,4
next_open,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-05,40,706.5793450881612,0.7729746455275982,1.1761680701422608,0.3091898582110393,0.75,1.3136460154591407,3.721490302049372,15.641102600382213,-0.09647615139440432,-9.647615139440433,2025-05-21T20:30:00+00:00,2025-05-23T12:00:00+00:00,7,1.452476326599705,-1.265530397688723,1.0,1.0,2025-05,2025-05,ADAUSDT,LINKUSDT,1.0,0.2008625697717563,3.075,7
next_open,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-06,28,602.3263803680982,-0.4407429530426753,-1.1193296387408767,-0.12340802685194907,0.2857142857142857,1.4758023810459737,-1.5802877957530708,-7.329479133408598,-0.18818393653029736,-18.818393653029737,2025-06-05T23:45:00+00:00,2025-06-22T16:30:00+00:00,7,1.6242684766833875,-1.2667475249331004,0.0,0.14285714285714285,2025-06,2025-06,LINKUSDT,SOLUSDT,,,2.2857142857142856,7
