entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,AVAXUSDT,46,47.27545577114719,0.47226262296486365,0.3828987477429125,0.2172408065638373,0.5652173913043478,3.365106077147156,0.9518395183427405,0.9649452624119504,-0.13546177557901973,-13.546177557901974,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,3,2.068652167050204,-1.6030437843460796,0.6666666666666666,1.0,2025-10,2025-06,AVAXUSDT,AVAXUSDT,0.35734567652012095,0.9999999999999999,0.9130434782608695,6
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,LINKUSDT,55,59.48550277606416,1.0155028180804568,0.38074480956487805,0.5585265499442512,0.5272727272727272,4.879634347069118,1.5433882802331602,1.6050901206504857,-0.11088711434032678,-11.088711434032678,2025-08-14T15:45:00+00:00,2025-10-11T00:00:00+00:00,3,3.203586811644463,-1.4250524055101652,0.5,1.0,2025-10,2025-12,LINKUSDT,LINKUSDT,0.8607241163485276,1.0000000000000002,0.8636363636363636,6
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,LTCUSDT,50,61.92645967998305,0.06553496705918957,-0.1963200290488831,0.032767483529594785,0.46,3.6707887561432657,0.12624049677289947,0.14049207239414954,-0.19071777304196258,-19.071777304196257,2025-07-24T09:45:00+00:00,2025-10-11T00:00:00+00:00,6,2.206412873416915,-1.758175842060355,0.5,1.0,2025-05,2025-11,LTCUSDT,LTCUSDT,1.2823691505446264,0.9999999999999991,1.0,7
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,XRPUSDT,41,54.66874548427577,0.5783953776277243,0.18533530259446046,0.23714210482736697,0.5609756097560976,4.797816189187771,0.7719214982961203,0.8913551170336922,-0.14641329315370968,-14.64132931537097,2025-08-14T15:45:00+00:00,2025-10-10T22:30:00+00:00,3,2.668067957776897,-2.0917418081184413,0.6,1.0,2025-10,2026-02,XRPUSDT,XRPUSDT,0.6126696406869413,1.0,0.8902439024390244,4
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,ETHUSDT,41,44.34647418101055,0.3970593987751756,0.07148704237800682,0.16279435349782198,0.5365853658536586,2.137552501448769,1.1894073517607942,1.2369958380474149,-0.08549187160764013,-8.549187160764014,2025-12-07T17:30:00+00:00,2026-01-31T20:15:00+00:00,4,1.7732949952076325,-1.1964765549887229,0.6,1.0,2025-10,2025-12,ETHUSDT,ETHUSDT,0.5537568659193048,0.9999999999999998,0.6463414634146342,3
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,SOLUSDT,47,51.08359939245529,0.2075557509624531,-0.04589455679519287,0.09755120295235295,0.46808510638297873,2.464143101978776,0.5774545065109173,0.6020181588570866,-0.11501274579204183,-11.501274579204184,2025-11-05T04:30:00+00:00,2026-02-05T23:30:00+00:00,6,1.9109526622347939,-1.2914335309572071,0.5833333333333334,1.0,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6880015277557229,1.0000000000000002,0.7978723404255319,5
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,BNBUSDT,22,59.44424751483393,0.9709217709912924,0.44573241151233073,0.21360278961808432,0.5454545454545454,3.5740100023910903,1.2742065000283966,2.0945146033767448,-0.06640699294619176,-6.640699294619176,2025-10-11T04:30:00+00:00,2025-10-14T08:00:00+00:00,3,3.020312995825167,-1.4883476988093582,0.8,1.0,2025-10,2025-12,BNBUSDT,BNBUSDT,0.5164828275441996,0.9999999999999998,1.0909090909090908,5
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,BTCUSDT,5,15.458954236839785,1.5698273421531774,0.34686608800871493,0.07849136710765887,1.0,2.566438709541272,1.367747703049472,2.404977666504137,0.0,0.0,2025-10-11T00:00:00+00:00,2025-10-11T00:00:00+00:00,0,1.5698273421531774,0.0,1.0,1.0,2026-02,2026-01,BTCUSDT,BTCUSDT,0.7968801897170683,1.0,0.7,2
next_open,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,ADAUSDT,60,61.663637962365904,0.7021934974800492,0.1438632806263019,0.4213160984880295,0.5333333333333333,5.613006531025661,0.9690292382604524,0.9823716651585652,-0.22426401067306545,-22.426401067306546,2025-05-30T04:00:00+00:00,2025-10-11T00:15:00+00:00,5,3.0575286722428756,-1.9896181308203233,0.6666666666666666,1.0,2025-10,2025-12,ADAUSDT,ADAUSDT,0.9203325764908065,1.0000000000000004,0.75,5
next_open,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,AVAXUSDT,46,47.27545577114719,0.11778529041013101,0.15104750258494398,0.05418123358866027,0.5217391304347826,4.3047708441877495,0.18557519915336682,0.18813035789475974,-0.3220740905637333,-32.20740905637333,2025-06-05T23:45:00+00:00,2025-10-11T00:15:00+00:00,5,2.485888813574361,-2.4656003712235743,0.5,1.0,2025-05,2025-06,AVAXUSDT,AVAXUSDT,1.2419250896575285,0.999999999999999,0.9130434782608695,6
