symbol,timeframe,entry_mode,model,allow_stacking,friction_case,event_threshold,signal_time,signal_return,entry_time,exit_time,entry_price,exit_price,atr_14_prior,stop,horizon_bars,exit_reason,exit_legs,gross_return,fee_return,net_return,net_return_pct,taker_fee_bps_per_side,slippage_bps_per_side
AVAXUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.03331978870377894,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,21.624807,21.697146,0.13307142857142779,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.0033451859246651505,0.0008,0.00254518592466515,0.25451859246651504,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.021746240615801327,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,2595.327015,2624.72698,11.07999999999996,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.011328038751987402,0.0008,0.010528038751987403,1.0528038751987403,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.040629795183134254,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,14.566279499999998,14.616688000000002,0.07821428571428589,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.0034606297373329653,0.0008,0.002660629737332965,0.2660629737332965,4.0,5.0
LTCUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.031129240017174653,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,91.20558,91.57419000000002,0.4399999999999987,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.004041529038026237,0.0008,0.0032415290380262366,0.3241529038026237,4.0,5.0
SOLUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.029399412011759662,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,163.271595,164.46772500000003,0.6585714285714245,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.007326014056517449,0.0008,0.006526014056517449,0.6526014056517448,4.0,5.0
XRPUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.035754239942721755,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,2.18719305,2.20779555,0.009685714285714297,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.009419607473606595,0.0008,0.008619607473606596,0.8619607473606596,4.0,5.0
AVAXUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-05 20:30:00+00:00,-0.02173341051412936,2025-06-05 20:45:00+00:00,2025-06-05 23:45:00+00:00,18.4782345,18.720635,0.18771428571428597,,12,horizon,horizon:1.0@2025-06-05T23:45:00+00:00,0.013118163426273366,0.0008,0.012318163426273367,1.2318163426273367,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-05 20:30:00+00:00,-0.02212425173920085,2025-06-05 20:45:00+00:00,2025-06-05 23:45:00+00:00,2398.7287650000003,2411.6935500000004,23.265000000000068,,12,horizon,horizon:1.0@2025-06-05T23:45:00+00:00,0.005404856601200603,0.0008,0.004604856601200602,0.46048566012006026,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-05 20:30:00+00:00,-0.02093634116192833,2025-06-05 20:45:00+00:00,2025-06-05 23:45:00+00:00,12.6693315,12.869562,0.14335714285714296,,12,horizon,horizon:1.0@2025-06-05T23:45:00+00:00,0.015804346109342893,0.0008,0.015004346109342894,1.5004346109342894,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-13 00:00:00+00:00,-0.02602511726433654,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,0.63581775,0.6294851,0.0045142857142857085,,12,horizon,horizon:1.0@2025-06-13T03:15:00+00:00,-0.009959850916398505,0.0008,-0.010759850916398504,-1.0759850916398503,4.0,5.0
AVAXUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-13 00:00:00+00:00,-0.03053774050320668,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,19.418704499999997,18.9255325,0.1464285714285715,,12,horizon,horizon:1.0@2025-06-13T03:15:00+00:00,-0.02539675084916182,0.0008,-0.026196750849161822,-2.619675084916182,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-13 00:00:00+00:00,-0.02832988816451998,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,2550.95484,2494.47214,19.617142857142913,,12,horizon,horizon:1.0@2025-06-13T03:15:00+00:00,-0.022141787504164512,0.0008,-0.022941787504164514,-2.2941787504164513,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-13 00:00:00+00:00,-0.023702112423916954,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,13.440717,13.121436000000001,0.11007142857142885,,12,horizon,horizon:1.0@2025-06-13T03:15:00+00:00,-0.023754759511713464,0.0008,-0.024554759511713466,-2.4554759511713464,4.0,5.0
SOLUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-13 00:00:00+00:00,-0.028509492215726184,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,145.83288,143.78807000000003,0.970714285714288,,12,horizon,horizon:1.0@2025-06-13T03:15:00+00:00,-0.01402159787285251,0.0008,-0.014821597872852508,-1.4821597872852508,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-16 22:30:00+00:00,-0.02461397339856286,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,0.64042005,0.6342827000000001,0.0025499999999999967,,12,horizon,horizon:1.0@2025-06-17T01:45:00+00:00,-0.009583319572833426,0.0008,-0.010383319572833425,-1.0383319572833425,4.0,5.0
AVAXUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-16 22:30:00+00:00,-0.03055317863794227,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,19.347669,19.2033935,0.1115,,12,horizon,horizon:1.0@2025-06-17T01:45:00+00:00,-0.007456996499164759,0.0008,-0.008256996499164757,-0.8256996499164757,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-16 22:30:00+00:00,-0.0380917939908989,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,2569.934325,2578.700005,13.397142857142821,,12,horizon,horizon:1.0@2025-06-17T01:45:00+00:00,0.0034108575906894867,0.0008,0.0026108575906894863,0.26108575906894865,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-16 22:30:00+00:00,-0.024765824581322704,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,13.784889,13.607193000000002,0.06564285714285718,,12,horizon,horizon:1.0@2025-06-17T01:45:00+00:00,-0.012890636986630621,0.0008,-0.01369063698663062,-1.369063698663062,4.0,5.0
SOLUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-16 22:30:00+00:00,-0.024047968361293637,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,152.97645,151.46423,0.6892857142857147,,12,horizon,horizon:1.0@2025-06-17T01:45:00+00:00,-0.009885312412466152,0.0008,-0.01068531241246615,-1.068531241246615,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-06-20 17:15:00+00:00,-0.0251749944526255,2025-06-20 17:30:00+00:00,2025-06-20 20:30:00+00:00,2410.314555,2429.274755,15.547142857142846,,12,horizon,horizon:1.0@2025-06-20T20:30:00+00:00,0.007866276192320498,0.0008,0.007066276192320498,0.7066276192320498,4.0,5.0
