timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,2.5,0.25,0.5,0.6,0.4,1.0,1.5,1048,-0.4267092974012332,-447.1913436764924,-460.12786570746687,0.47226511491310574,969,-0.4689120657750399,-454.3757917360137,-458.6988151480235,0.4282032050392709,-0.04220276837380671,-79
15m,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,2.5,0.25,0.5,0.6,0.4,1.0,1.5,1080,-0.9005334049866525,-972.5760773855847,-976.3968485340315,0.2145706420935502,996,-0.9256795375989608,-921.9768194485649,-920.5990994372062,0.1920287527868477,-0.02514613261230836,-84
15m,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_b,base,2.5,0.25,0.5,0.6,0.4,1.2,2.0,860,-0.38687848678391845,-332.7154986341699,-354.738532368639,0.5210159333893254,794,-0.36834123006065994,-292.462936668164,-312.19577571359764,0.529214552810433,0.01853725672325851,-66
15m,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_b,stress,2.5,0.25,0.5,0.6,0.4,1.2,2.0,895,-0.7748583071912909,-693.4981849362053,-702.781554780713,0.2878769706381113,821,-0.7676367552438625,-630.2297760552111,-638.190012913747,0.2769564722002401,0.007221551947428351,-74
15m,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,2.5,0.25,0.5,0.7,0.3,1.0,1.5,964,-0.436777497762541,-421.0535078430895,-433.99002987406385,0.46292792034050895,904,-0.49492488945007046,-447.4121000628637,-451.7351234748736,0.40764342894774963,-0.05814739168752947,-60
15m,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,2.5,0.25,0.5,0.7,0.3,1.0,1.5,993,-0.9015726247965298,-895.261616422954,-899.0823875714016,0.2153439364610185,927,-0.9494806280000266,-880.1685421560247,-878.7908221446659,0.18368239739872522,-0.04790800320349686,-66
15m,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_b,base,2.5,0.25,0.5,0.7,0.3,1.2,2.0,808,-0.40871319946388734,-330.24026516682096,-352.26329890129017,0.5031353417413188,749,-0.4070833953438234,-304.9054631125237,-324.6164795826859,0.49248901133560113,0.0016298041200639712,-59
15m,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_b,stress,2.5,0.25,0.5,0.7,0.3,1.2,2.0,831,-0.7789078346388049,-647.2724105848469,-656.5557804293546,0.28666475425773824,771,-0.7982794504157879,-615.4734562705725,-622.4558291508988,0.25929342080999646,-0.019371615776982987,-60
15m,fz2.5_react0_body0.25_cl0.6_cs0.4,model_a,base,2.5,0.0,0.25,0.6,0.4,1.0,1.5,1242,-0.40957240716099735,-508.6889296939587,-529.5767667302769,0.48149451225467704,1134,-0.45445686186549455,-515.3540813554708,-528.7224054676275,0.43767800947811325,-0.0448844547044972,-108
15m,fz2.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,2.5,0.0,0.25,0.6,0.4,1.0,1.5,1292,-0.8668597067218777,-1119.982741084666,-1124.8310414203231,0.22216604767534076,1166,-0.8880813395904615,-1035.5028419624782,-1041.6538142392328,0.20388491715056323,-0.021221632868583806,-126
15m,fz2.5_react0_body0.25_cl0.6_cs0.4,model_b,base,2.5,0.0,0.25,0.6,0.4,1.2,2.0,984,-0.34516939410837433,-339.6466838026403,-362.61754963517035,0.5580713773004922,903,-0.38608715896990325,-348.63670454982264,-371.6710791836411,0.5049848380582369,-0.04091776486152893,-81
15m,fz2.5_react0_body0.25_cl0.6_cs0.4,model_b,stress,2.5,0.0,0.25,0.6,0.4,1.2,2.0,1027,-0.7377502680943372,-757.6695253328843,-765.4744182005475,0.3021923926371838,940,-0.7743615620868801,-727.8998683616674,-734.448741565305,0.2648029882531497,-0.036611293992542926,-87
15m,fz2.5_react0_body0.25_cl0.7_cs0.3,model_a,base,2.5,0.0,0.25,0.7,0.3,1.0,1.5,1146,-0.44127232405894257,-505.6980833715482,-530.6935569852193,0.45290042528904967,1056,-0.4853642871377009,-512.5446872174122,-527.2189726627005,0.4091574445430501,-0.044091963078758345,-90
15m,fz2.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,2.5,0.0,0.25,0.7,0.3,1.0,1.5,1195,-0.8969930536038264,-1071.9066990565725,-1076.7549993922296,0.20842775589540302,1085,-0.9165677502441103,-994.4760090148596,-1000.6269812916139,0.19078141431441792,-0.019574696640283884,-110
15m,fz2.5_react0_body0.25_cl0.7_cs0.3,model_b,base,2.5,0.0,0.25,0.7,0.3,1.2,2.0,929,-0.38243432702519564,-355.28148980640674,-378.1049591811425,0.5235642499244099,851,-0.4135337098138143,-351.91718705155597,-374.36933704461086,0.4816499612735129,-0.03109938278861868,-78
15m,fz2.5_react0_body0.25_cl0.7_cs0.3,model_b,stress,2.5,0.0,0.25,0.7,0.3,1.2,2.0,961,-0.7577473720164125,-728.1952245077724,-738.7530933620475,0.2932418397896328,878,-0.7884540286355521,-692.2626371420148,-701.1975669130043,0.2595994196957976,-0.030706656619139627,-83
15m,fz2.5_react0_body0.5_cl0.6_cs0.4,model_a,base,2.5,0.0,0.5,0.6,0.4,1.0,1.5,1056,-0.4222697524811746,-445.91685862012037,-460.5669511109768,0.475622193299318,977,-0.4662929236915528,-455.5681864466471,-459.891209858657,0.4291355318966632,-0.04402317121037819,-79
15m,fz2.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,2.5,0.0,0.5,0.6,0.4,1.0,1.5,1088,-0.8928613498056795,-971.4331485885793,-975.2539197370257,0.21724519341972162,1003,-0.9205173291282469,-923.2788811156316,-921.901161104273,0.19281488657530305,-0.02765597932256736,-85
15m,fz2.5_react0_body0.5_cl0.6_cs0.4,model_b,base,2.5,0.0,0.5,0.6,0.4,1.2,2.0,864,-0.3887710238594238,-335.89816461454217,-357.9211983490114,0.517441850272963,798,-0.36501296178434806,-291.28034350390976,-311.01318254934347,0.5309962697917878,0.023758062075075748,-66
15m,fz2.5_react0_body0.5_cl0.6_cs0.4,model_b,stress,2.5,0.0,0.5,0.6,0.4,1.2,2.0,898,-0.7708794931640647,-692.2497848613301,-701.5331547058377,0.28787046997257004,825,-0.763358257627751,-629.7705625428946,-637.7307994014305,0.27753944325435276,0.007521235536313675,-73
15m,fz2.5_react0_body0.5_cl0.7_cs0.3,model_a,base,2.5,0.0,0.5,0.7,0.3,1.0,1.5,970,-0.4328219583762747,-419.83729962498643,-434.4873921158425,0.46652025261607927,912,-0.4942536279908948,-450.75930872769607,-455.08233213970607,0.4072927498380005,-0.0614316696146201,-58
15m,fz2.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,2.5,0.0,0.5,0.7,0.3,1.0,1.5,999,-0.8967020479394304,-895.805345891491,-899.6261170399381,0.21749051230677166,934,-0.946274671915143,-883.8205435687436,-882.4428235573849,0.18391668619383694,-0.049572623975712604,-65
15m,fz2.5_react0_body0.5_cl0.7_cs0.3,model_b,base,2.5,0.0,0.5,0.7,0.3,1.2,2.0,811,-0.4114477126404349,-333.6840949513927,-355.70712868586185,0.5000761510811174,752,-0.4059074751172529,-305.24242128817417,-324.95343775833624,0.4928213986687255,0.005540237523182001,-59
15m,fz2.5_react0_body0.5_cl0.7_cs0.3,model_b,stress,2.5,0.0,0.5,0.7,0.3,1.2,2.0,833,-0.7759974912329795,-646.4059101970719,-655.6892800415793,0.28757291800015033,774,-0.7962767897656794,-616.3182352786358,-623.3006081589622,0.259306571604701,-0.02027929853269994,-59
15m,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,base,2.0,0.25,0.25,0.6,0.4,1.0,1.5,2292,-0.5316951331508176,-1218.645245181674,-1234.0704449841396,0.39081458467981134,2079,-0.5083310537618362,-1056.8202607708574,-1073.729737103517,0.40126829267379144,0.02336407938898144,-213
15m,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,2.0,0.25,0.25,0.6,0.4,1.0,1.5,2394,-1.0406154414092088,-2491.233366733646,-2494.671182605481,0.17070260223007883,2150,-1.0102728285523797,-2172.086581387616,-2177.0421539873564,0.17403933912798497,0.030342612856829154,-244
15m,fz2_react0.25_body0.25_cl0.6_cs0.4,model_b,base,2.0,0.25,0.25,0.6,0.4,1.2,2.0,1830,-0.4569954990053959,-836.3017631798745,-858.7622859552023,0.460146401099125,1674,-0.4458437476527592,-746.3424335707189,-774.7900286767028,0.45802113769175695,0.011151751352636685,-156
15m,fz2_react0.25_body0.25_cl0.6_cs0.4,model_b,stress,2.0,0.25,0.25,0.6,0.4,1.2,2.0,1913,-0.8937732147928934,-1709.7881598988051,-1719.0953326023607,0.2367958277818461,1758,-0.8983211196940716,-1579.2485284221777,-1589.6709899668938,0.223532279079231,-0.004547904901178179,-155
15m,fz2_react0.25_body0.25_cl0.7_cs0.3,model_a,base,2.0,0.25,0.25,0.7,0.3,1.0,1.5,2119,-0.5396110915287452,-1143.435902949411,-1160.1460413299258,0.38360621065643347,1947,-0.5214957093219017,-1015.3521460497427,-1033.5675837155343,0.38943836189218495,0.0181153822068435,-172
15m,fz2_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,2.0,0.25,0.25,0.7,0.3,1.0,1.5,2219,-1.045522799527982,-2320.0150921525924,-2323.452908024427,0.1688801652690005,2006,-1.0186664706909145,-2043.4449402059747,-2048.400512805714,0.16906313136753262,0.026856328837067567,-213
15m,fz2_react0.25_body0.25_cl0.7_cs0.3,model_b,base,2.0,0.25,0.25,0.7,0.3,1.2,2.0,1720,-0.4538401725592233,-780.6050968018641,-805.3452057084423,0.46529900484,1576,-0.4530872761697783,-714.0655472435706,-744.3348038748369,0.4525470397529267,0.0007528963894450347,-144
15m,fz2_react0.25_body0.25_cl0.7_cs0.3,model_b,stress,2.0,0.25,0.25,0.7,0.3,1.2,2.0,1787,-0.887755736040324,-1586.419500304059,-1596.4601741336253,0.24048145484658398,1649,-0.8968747733785364,-1478.9465013012066,-1490.8989555113967,0.22378073777422805,-0.009119037338212399,-138
15m,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,base,2.0,0.25,0.5,0.6,0.4,1.0,1.5,1982,-0.5300518479658316,-1050.5627626682783,-1063.0710372019128,0.393953346237673,1837,-0.517724070124186,-951.0591168181296,-958.7643127485436,0.39592913272016783,0.012327777841645626,-145
15m,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,2.0,0.25,0.5,0.6,0.4,1.0,1.5,2075,-1.0496649505307305,-2178.054772351266,-2181.550553729454,0.1710885052303148,1886,-1.021948589289254,-1927.395039399533,-1926.0173193881767,0.1702081909440908,0.027716361241476584,-189
15m,fz2_react0.25_body0.5_cl0.6_cs0.4,model_b,base,2.0,0.25,0.5,0.6,0.4,1.2,2.0,1627,-0.48119780102407206,-782.9088222661652,-806.8718081746323,0.4413065128542015,1500,-0.4582414826119081,-687.3622239178621,-711.0820092545498,0.451070921757216,0.022956318412163945,-127
15m,fz2_react0.25_body0.5_cl0.6_cs0.4,model_b,stress,2.0,0.25,0.5,0.6,0.4,1.2,2.0,1695,-0.9068770502071205,-1537.1566001010692,-1545.5072766152405,0.2342254234516668,1573,-0.8975259705166119,-1411.8083516226304,-1417.7011312358509,0.22665550372956003,0.009351079690508635,-122
15m,fz2_react0.25_body0.5_cl0.7_cs0.3,model_a,base,2.0,0.25,0.5,0.7,0.3,1.0,1.5,1845,-0.5291963667543835,-976.3672966618376,-990.1040492093028,0.39409486666716664,1726,-0.5332131890985078,-920.3259643840245,-925.6138797408554,0.3837734746117618,-0.00401682234412426,-119
15m,fz2_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,2.0,0.25,0.5,0.7,0.3,1.0,1.5,1926,-1.041413050604476,-2005.7615354642207,-2009.2573168424094,0.17393679701682802,1769,-1.02967468836114,-1821.4945237108568,-1820.1168036994975,0.16584313931474187,0.01173836224333602,-157
15m,fz2_react0.25_body0.5_cl0.7_cs0.3,model_b,base,2.0,0.25,0.5,0.7,0.3,1.2,2.0,1533,-0.48140449722010753,-737.9930942384249,-763.7487076698308,0.44217059980144674,1417,-0.47195363419954356,-668.7582996607532,-692.5362117911025,0.43850917461631855,0.009450863020563971,-116
15m,fz2_react0.25_body0.5_cl0.7_cs0.3,model_b,stress,2.0,0.25,0.5,0.7,0.3,1.2,2.0,1583,-0.896636819521724,-1419.3760853028891,-1430.5626391015157,0.23739928286305634,1482,-0.9036550750127176,-1339.2168211688474,-1344.9243200775347,0.22043202819376134,-0.007018255490993552,-101
15m,fz2_react0_body0.25_cl0.6_cs0.4,model_a,base,2.0,0.0,0.25,0.6,0.4,1.0,1.5,2372,-0.5099886742107873,-1209.6931352279876,-1231.4159028106933,0.40468944473780455,2166,-0.5038422275339464,-1091.3222648385279,-1107.3602277445273,0.4042310507914971,0.006146446676840944,-206
15m,fz2_react0_body0.25_cl0.6_cs0.4,model_a,stress,2.0,0.0,0.25,0.6,0.4,1.0,1.5,2494,-1.0180886106659874,-2539.1129950009727,-2543.6363055663724,0.17621210893489195,2244,-1.0009218445032788,-2246.068619065358,-2251.890643649,0.17493217279189613,0.017166766162708624,-250
