timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,fz1.5_react0_body0.5_cl0.7_cs0.3,model_b,base,1.5,0.0,0.5,0.7,0.3,1.2,2.0,3177,-0.45940713517932835,-1459.536468464726,-1481.2357649294995,0.4607117924822227,2944,-0.4368685073119574,-1286.1408855264026,-1302.4557578814104,0.47011702445162135,0.02253862786737093,-233
15m,fz1.5_react0_body0.5_cl0.7_cs0.3,model_b,stress,1.5,0.0,0.5,0.7,0.3,1.2,2.0,3308,-0.8989132284565099,-2973.604959734135,-2973.4615057811798,0.23529962886688383,3054,-0.8644135254271422,-2639.9189066544923,-2638.845525940921,0.23890691105678827,0.03449970302936767,-254
15m,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,2.5,0.25,0.25,0.6,0.4,1.0,1.5,1203,-0.4332551600864643,-521.2059575840166,-535.7962268400948,0.4640388694296722,1091,-0.46906163309849125,-511.74624171045394,-523.329995495432,0.4284707595898065,-0.03580647301202694,-112
15m,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,2.5,0.25,0.25,0.6,0.4,1.0,1.5,1244,-0.8994335360045089,-1118.895318789609,-1122.6581244317003,0.21244890483864268,1122,-0.9071582557802571,-1017.8315629854485,-1023.116083278301,0.19960660146360218,-0.007724719775748179,-122
15m,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_b,base,2.5,0.25,0.25,0.6,0.4,1.2,2.0,959,-0.36636901481672546,-351.34788520923973,-370.7500800508533,0.5405829302622669,880,-0.3843984195494404,-338.27060920350755,-361.5103817393416,0.5118336302415812,-0.018029404732714915,-79
15m,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_b,stress,2.5,0.25,0.25,0.6,0.4,1.2,2.0,1001,-0.7592121872212306,-759.9713994084518,-768.2480197505861,0.29570326085873117,912,-0.7719239497310121,-703.994642154683,-715.411411079592,0.27132628015498533,-0.012711762509781455,-89
15m,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,2.5,0.25,0.25,0.7,0.3,1.0,1.5,1104,-0.453882776622663,-501.08658539142,-517.0429083128412,0.44484903701834,1017,-0.4876537708827044,-495.94388498771036,-508.8336001058203,0.4111130431320996,-0.033770994260041376,-87
15m,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,2.5,0.25,0.25,0.7,0.3,1.0,1.5,1145,-0.9132818997875305,-1045.7077752567225,-1049.470580898815,0.20609013774860055,1044,-0.9285248198614416,-969.379911935345,-974.6644322281974,0.18970937159108672,-0.015242920073911148,-101
15m,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_b,base,2.5,0.25,0.25,0.7,0.3,1.2,2.0,903,-0.3916140357379088,-353.62747427133166,-374.77447200552774,0.5188449648520679,830,-0.4061290752309584,-337.0871324416955,-361.1092661020283,0.4928217513382563,-0.014515039493049608,-73
15m,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_b,stress,2.5,0.25,0.25,0.7,0.3,1.2,2.0,932,-0.7728600173819477,-720.3055361999752,-729.1574661820955,0.28998215505272984,855,-0.7842378190748244,-670.5233353089749,-681.9354738354701,0.26570340510999474,-0.011377801692876721,-77
