timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,next_close,2.0,0.25,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,442,486.87760743905505,0.3416289592760181,-0.42154906201587156,-186.32468541101522,-190.24907905815817,12,0.4052233658801959,0.8406864160351101,-1.076523485334422,,-35.24984233325752,,0.26319585141259916
1h,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,1047,1149.2614575507139,0.3467048710601719,-0.42361685382620917,-443.52684595604103,-446.5668124137096,21,0.4154291546220834,0.8683066100979103,-1.1092429026631323,,-35.963266366402266,,-54.408542553734
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,next_close,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,1107,1215.121712997746,0.34598012646793136,-0.42945414532171344,-475.4057388711368,-478.8337769432451,22,0.4096551415640669,0.861347248928208,-1.1122952143793376,,-137.706208043906,,-30.414314118053106
1h,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,next_close,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,1217,1335.8655146506387,0.3368940016433854,-0.4477084498042551,-544.8611834117785,-547.0485322170455,20,0.3915037785407348,0.8550275034408904,-1.1095693430266957,,-65.12971094711511,,-33.52747283395195
1h,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,1154,1266.7122464312547,0.3344887348353553,-0.45175366975692827,-521.3237348994952,-523.1230120903228,23,0.38905061770340765,0.8600447962406305,-1.1110690445942428,,-49.942374868211644,,-4.690751722123556
1h,fz2.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,next_open,2.5,0.0,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,298,328.463221425877,0.3691275167785235,-0.34835749540078753,-103.81053362943469,-110.3791464518905,17,0.5004967672658003,0.9456092498007087,-1.1054656973803865,,-0.5046600792047874,,-15.483472649445437
1h,fz2.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,next_open,2.5,0.0,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,329,362.63221425877026,0.3556231003039514,-0.359811064784999,-118.37784031426467,-126.18099748765982,17,0.49008632310134154,0.9724347560855277,-1.0950599376239216,,-5.943081113986582,,-12.437188113449643
1h,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,next_open,2.5,0.25,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,288,317.4409656733308,0.3645833333333333,-0.36444100487425746,-104.95900940378614,-111.14034953785013,16,0.4836781339967651,0.9364106855716744,-1.1108313190645462,,-4.384807418905507,,-5.768950884882359
1h,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,next_open,2.5,0.25,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,267,294.3312374245473,0.36704119850187267,-0.3697194076509643,-98.71508184280746,-105.8188675611031,15,0.48944219129896305,0.9656370383889276,-1.1440681160054578,,-9.660120031056884,,-1.623169564682947
1h,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,next_open,2.5,0.25,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,245,270.0792253521127,0.37142857142857144,-0.3704379156591033,-90.7572893364803,-95.62729364800042,13,0.47903767430542915,0.9170720901252585,-1.131239282713499,,-8.496795677047917,,-12.887841314220108
1h,fz2.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,next_open,2.5,0.0,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,249,274.48868209255534,0.36947791164658633,-0.37424556365541745,-93.18714535019895,-98.05714966171908,13,0.472666786155686,0.9079002600774942,-1.1255666832950855,,-8.496795677047917,,-11.989799921144236
1h,fz2.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,next_open,2.5,0.0,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,271,298.7406941649899,0.36531365313653136,-0.3750493873409442,-101.63838396939587,-108.74216968769151,15,0.4823455574231421,0.9566231665438975,-1.1415353340537309,,-5.750801165167681,,-18.454077631185715
1h,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,next_open,2.5,0.25,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,319,351.6099585062241,0.34796238244514105,-0.38542669963986964,-122.95111718511842,-130.36700167012177,16,0.4660883846096718,0.9669597823506373,-1.1071329472405729,,-6.284510246026212,,-1.623169564682947
1h,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,1326,1455.511645379414,0.3438914027149321,-0.4283179977349886,-567.9496649965948,-575.5590013430163,22,0.42517862231874165,0.9212627559058522,-1.1356844617122568,,-174.93026856146318,,-35.92771654400854
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,next_open,1.5,0.0,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,973,1068.1675641828429,0.3473792394655704,-0.4362006136803365,-424.42319711096746,-427.8866120198731,19,0.41842834105204046,0.9034419871672089,-1.1492702185409198,,-117.04050675633373,,-53.667697340793346
1h,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,next_open,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,1254,1376.4793388429753,0.34609250398724084,-0.4375120641104799,-548.6401283945418,-555.8621920525711,22,0.4203195779866844,0.916618939255583,-1.1542106683310547,,-167.8153760754344,,-38.152221103866815
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,962,1056.0916718847839,0.3471933471933472,-0.43853241203576,-421.8681803784011,-425.33159528730675,19,0.4176352185478802,0.905799996666461,-1.1535117504219732,,-117.56317838082542,,-24.01653855755681
1h,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,1064,1168.0681277395115,0.3458646616541353,-0.4392946612837809,-467.4095196059429,-473.35876819875233,20,0.41683114912690494,0.9078531014240199,-1.1515796852442273,,-124.4309293531337,,-64.89498516807203
1h,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,next_open,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,1048,1150.5031934877895,0.3463740458015267,-0.4404045597910199,-461.54397866098884,-467.4932272537982,20,0.41826020822562626,0.9141642694125299,-1.1582271656317331,,-43.90971617629223,,-42.85292527726348
1h,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,next_open,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,1127,1237.0751314800902,0.3433895297249335,-0.4405922986261536,-496.5475205516751,-501.2943625306947,21,0.41610240777331875,0.9143519534562412,-1.149191522350325,,-30.53974715385753,,-5.497167432706508
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,1189,1305.1307287753568,0.3380992430613961,-0.4423400187584227,-525.9422823037646,-531.0763969711763,21,0.4132508148938922,0.9214531458835924,-1.1389662604180035,,-61.87624327758007,,-5.497167432706508
1h,fz2_react0_body0.25_cl0.6_cs0.4,model_a,stress,next_open,2.0,0.0,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,633,697.0952261306533,0.32701421800947866,-0.452375822975025,-286.3538959431908,-295.98792025474046,16,0.3997028994007751,0.9210936824782999,-1.1197659347798097,,-23.672260818153482,,-3.6373150671278527
1h,fz2_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,next_open,2.0,0.25,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,543,597.756875549416,0.3278084714548803,-0.4712717898545212,-255.900581891005,-263.9127891632233,17,0.3846662219343525,0.8987203325927913,-1.1393775372397859,,-12.753093463755114,,-21.418327996945294
1h,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,next_open,2.0,0.25,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,606,667.3613065326633,0.3234323432343234,-0.47261497024033533,-286.4046719656432,-295.651423588801,17,0.3849550553558236,0.9145915843372245,-1.1357673719408274,,-20.469503164867277,,-27.447213332299143
1h,fz2_react0_body0.25_cl0.7_cs0.3,model_a,stress,next_open,2.0,0.0,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,568,625.2779103353007,0.323943661971831,-0.4730920957723794,-268.71631039871147,-277.11579035932147,16,0.3831651107209545,0.907179508825949,-1.1344722396424116,,-21.961362120433673,,-19.53891570355021
1h,fz2_react0_body0.5_cl0.7_cs0.3,model_a,stress,next_open,2.0,0.0,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,479,527.3692539562924,0.3277661795407098,-0.4778283477231925,-228.8797785594092,-235.08404951734212,17,0.374930392089667,0.8744400392304938,-1.1371641761447104,,-13.507369611605627,,-14.245965177922738
1h,fz2_react0_body0.5_cl0.6_cs0.4,model_a,stress,next_open,2.0,0.0,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,521,573.6103993971363,0.32437619961612285,-0.47807498001074206,-249.07706458559662,-257.76716922743344,17,0.379706514414779,0.9021896950765751,-1.140758872311187,,-13.867057555040091,,-14.64154899709036
1h,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,next_open,2.0,0.25,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,515,567.0045214770158,0.32427184466019415,-0.47938607761139024,-246.88382996986599,-255.57393461170284,17,0.37985031581043,0.9055076837149875,-1.1439758998570946,,-12.58675983641898,,-14.664761344109968
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,next_open,2.0,0.25,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,474,521.8643556895253,0.3270042194092827,-0.4804497427493019,-227.7331780631691,-233.9374490211021,17,0.37396380957645414,0.8776568443332209,-1.140344792899117,,-12.227071892984515,,-15.113335637140365
1h,fz2.5_react0_body0.5_cl0.7_cs0.3,model_b,base,next_close,2.5,0.0,0.5,0.7,0.3,90,1.2,2.0,8,4.0,5.0,221,243.4082171127026,0.4343891402714932,-0.05924828874131854,-13.093871811831397,-29.43798458585306,10,0.8841695879108111,1.0411416565831713,-0.9043477667505266,,7.790305745827975,,5.160483896943358
1h,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_b,base,next_close,2.5,0.25,0.5,0.7,0.3,90,1.2,2.0,8,4.0,5.0,218,240.10403316999623,0.43119266055045874,-0.05973194583007744,-13.021564190956882,-29.538043141854846,10,0.8843682546932533,1.0594765935768995,-0.9081642257031083,,7.790305745827975,,5.160483896943358
