timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-01,476,5602.7069486404835,0.30462184873949577,-0.6211244982794507,-295.65526118101855,,,0.32271723663485696,0.9715602734712179,-1.3188262865085953
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-02,495,6461.906180193596,0.3878787878787879,-0.2757869552868792,-136.5145428670052,,,0.6115711181612707,1.1194717618903198,-1.1599112909239162
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-03,437,5384.036542515812,0.28832951945080093,-0.623246642000602,-272.3587825542631,,,0.3187486131301545,1.0113739039446452,-1.2855044837662006
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-04,407,4967.298294465715,0.29238329238329236,-0.7096094333430565,-288.811039370624,,,0.2691404006041377,0.8937411761192154,-1.3721049976694812
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-05,31,3761.190311418685,0.22580645161290322,-1.0511265608703555,-32.58492338698102,,,0.13651499369620104,0.7359430643249237,-1.5723552015523117
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-06,351,4818.897415818325,0.4017094017094017,-0.3960373566304174,-139.0091121772765,,,0.5022733825189876,0.994886308243964,-1.329943245903216
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-07,315,3759.4145677331517,0.326984126984127,-0.6147639086752748,-193.65063123271153,,,0.3405845276258387,0.9710631498426416,-1.3852364889929416
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-08,550,6502.090357383682,0.3490909090909091,-0.44607605264648725,-245.341828955568,,,0.4592400487614572,1.0851895524021509,-1.2673134721139132
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-09,450,5494.011142061282,0.2777777777777778,-0.7354650647398179,-330.959279132918,,,0.28135876593573594,1.0366039680210337,-1.4170300773401454
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-10,497,6110.381486676017,0.3319919517102616,-0.42694819914451215,-212.19325497482254,,,0.45671792532780886,1.0811110638158665,-1.17643548344711
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-11,309,4091.6827794561937,0.343042071197411,-0.3924478783911605,-121.2663944228686,,,0.496615343389643,1.1286382359273186,-1.1867095932569673
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-12,381,4542.463107786467,0.32808398950131235,-0.5624799643952553,-214.30486643459224,,,0.37672691692658733,1.0362637348772998,-1.3431165363056825
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-01,449,5283.13288590604,0.28507795100222716,-0.6725306920264884,-301.9662807198933,,,0.2914528574865396,0.9703938755864473,-1.3276532610434846
