scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_clusterstress_ccap20_scap2_largest_drop_alloc0.0025,next_close,cluster_stress,20,2,largest_drop,0.0025,781,185,0.1915113871635611,9.476761175036373,1.2134137227959503,0.7972743260750301,0.5736235595390525,2.3960798692581164,0.397094604239423,-0.5971306309026647,-2.395151435705722,4.590461762880689,20,5.007042253521127,18,13.0,1.2517605633802817,4.5,3.25,2025-02,-0.25165456783577955,2022-05,0.23010751116939196,XRPUSDT,0.17955357474143707,0.8888888888888888,low
next_close_clusterstress_ccap20_scap2_liquidity_priority_alloc0.0025,next_close,cluster_stress,20,2,liquidity_priority,0.0025,781,185,0.1915113871635611,9.476761175036373,1.2134137227959503,0.7972743260750301,0.5736235595390525,2.3960798692581164,0.397094604239423,-0.5971306309026647,-2.395151435705722,4.590461762880689,20,5.007042253521127,18,13.0,1.2517605633802817,4.5,3.25,2025-02,-0.25165456783577955,2022-05,0.23010751116939196,XRPUSDT,0.17955357474143707,0.8888888888888888,low
next_close_clusterstress_ccap20_scapunlimited_symbol_order_alloc0.0025,next_close,cluster_stress,20,unlimited,symbol_order,0.0025,864,102,0.10559006211180125,12.439814841980805,1.4397933844885191,1.006463747133645,0.5833333333333334,3.1571312196333023,0.5216021366549306,-0.5470267176149735,-2.1935697516599006,5.530199793830215,24,6.216435185185185,20,17.0,1.5541087962962963,5.0,4.25,2025-02,-0.24243643094447043,2022-05,0.1960861245902873,SOLUSDT,0.19911874184242936,0.8888888888888888,low
next_close_clusterstress_ccap20_scapunlimited_largest_drop_alloc0.0025,next_close,cluster_stress,20,unlimited,largest_drop,0.0025,864,102,0.10559006211180125,12.389300218222363,1.4339467845164773,0.9902810581249301,0.5821759259259259,3.144132499571106,0.5194819838139297,-0.5470267176149735,-2.1935697516599006,5.554615518644111,24,6.216435185185185,20,17.0,1.5541087962962963,5.0,4.25,2025-02,-0.24243643094447043,2022-05,0.20250572394052016,AVAXUSDT,0.20942548842105976,0.8888888888888888,low
next_close_clusterstress_ccap20_scapunlimited_liquidity_priority_alloc0.0025,next_close,cluster_stress,20,unlimited,liquidity_priority,0.0025,864,102,0.10559006211180125,12.439814841980805,1.4397933844885191,1.006463747133645,0.5833333333333334,3.1571312196333023,0.5216021366549306,-0.5470267176149735,-2.1935697516599006,5.530199793830215,24,6.216435185185185,20,17.0,1.5541087962962963,5.0,4.25,2025-02,-0.24243643094447043,2022-05,0.1960861245902873,SOLUSDT,0.19911874184242936,0.8888888888888888,low
next_close_clusterstress_ccapunlimited_scap1_symbol_order_alloc0.0025,next_close,cluster_stress,unlimited,1,symbol_order,0.0025,588,378,0.391304347826087,3.2024256919258605,0.5446302197152824,0.40005951935351003,0.5459183673469388,0.802992352432863,0.13395159795945855,-0.7337155052442812,-2.9450170881512836,1.9807681336392469,16,2.989795918367347,9,7.0,0.7474489795918368,2.25,1.7500000000000002,2021-05,-0.4872317116995539,2021-02,0.4270276729050226,BNBUSDT,0.2590035225054544,0.7777777777777778,low
next_close_clusterstress_ccapunlimited_scap1_largest_drop_alloc0.0025,next_close,cluster_stress,unlimited,1,largest_drop,0.0025,588,378,0.391304347826087,3.2024256919258605,0.5446302197152824,0.40005951935351003,0.5459183673469388,0.802992352432863,0.13395159795945855,-0.7337155052442812,-2.9450170881512836,1.9807681336392469,16,2.989795918367347,9,7.0,0.7474489795918368,2.25,1.7500000000000002,2021-05,-0.4872317116995539,2021-02,0.4270276729050226,BNBUSDT,0.2590035225054544,0.7777777777777778,low
next_close_clusterstress_ccapunlimited_scap1_liquidity_priority_alloc0.0025,next_close,cluster_stress,unlimited,1,liquidity_priority,0.0025,588,378,0.391304347826087,3.2024256919258605,0.5446302197152824,0.40005951935351003,0.5459183673469388,0.802992352432863,0.13395159795945855,-0.7337155052442812,-2.9450170881512836,1.9807681336392469,16,2.989795918367347,9,7.0,0.7474489795918368,2.25,1.7500000000000002,2021-05,-0.4872317116995539,2021-02,0.4270276729050226,BNBUSDT,0.2590035225054544,0.7777777777777778,low
next_close_clusterstress_ccapunlimited_scap2_symbol_order_alloc0.0025,next_close,cluster_stress,unlimited,2,symbol_order,0.0025,781,185,0.1915113871635611,9.476761175036373,1.2134137227959503,0.7972743260750301,0.5736235595390525,2.3960798692581164,0.397094604239423,-0.5971306309026647,-2.395151435705722,4.590461762880689,20,5.007042253521127,18,13.0,1.2517605633802817,4.5,3.25,2025-02,-0.25165456783577955,2022-05,0.23010751116939196,XRPUSDT,0.17955357474143707,0.8888888888888888,low
next_close_clusterstress_ccapunlimited_scap2_largest_drop_alloc0.0025,next_close,cluster_stress,unlimited,2,largest_drop,0.0025,781,185,0.1915113871635611,9.476761175036373,1.2134137227959503,0.7972743260750301,0.5736235595390525,2.3960798692581164,0.397094604239423,-0.5971306309026647,-2.395151435705722,4.590461762880689,20,5.007042253521127,18,13.0,1.2517605633802817,4.5,3.25,2025-02,-0.25165456783577955,2022-05,0.23010751116939196,XRPUSDT,0.17955357474143707,0.8888888888888888,low
