scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_exposure_pct,sharpe_like,best_month_contribution,best_symbol_contribution
next_close,stress,20,2,symbol_order,0.01,781,185,0.1915113871635611,11.149520314116046,1.7849717743484872,-2.3339042587113834,18.0,5.128854166352208,0.20642535983701557,0.17405318325495406
next_close,stress,unlimited,2,largest_drop,0.01,781,185,0.1915113871635611,11.149520314116046,1.7849717743484872,-2.3339042587113834,18.0,5.128854166352208,0.20642535983701557,0.17405318325495406
next_close,stress,unlimited,2,symbol_order,0.01,781,185,0.1915113871635611,11.149520314116046,1.7849717743484872,-2.3339042587113834,18.0,5.128854166352208,0.20642535983701557,0.17405318325495406
next_close,stress,20,2,largest_drop,0.01,781,185,0.1915113871635611,11.149520314116046,1.7849717743484872,-2.3339042587113834,18.0,5.128854166352208,0.20642535983701557,0.17405318325495406
next_close,stress,unlimited,2,liquidity_priority,0.01,781,185,0.1915113871635611,11.149520314116046,1.7849717743484872,-2.3339042587113834,18.0,5.128854166352208,0.20642535983701557,0.17405318325495406
next_close,stress,15,unlimited,liquidity_priority,0.01,790,176,0.18219461697722567,10.918857633102895,1.7495873139504736,-2.3850056430918642,15.0,5.006159595744187,0.21124330333215136,0.20699124291364807
next_close,stress,15,unlimited,symbol_order,0.01,790,176,0.18219461697722567,10.918857633102895,1.7495873139504736,-2.3850056430918642,15.0,5.006159595744187,0.21124330333215136,0.20699124291364807
next_open,stress,15,unlimited,liquidity_priority,0.01,790,176,0.18219461697722567,10.770650553104932,1.7268194869399789,-2.914791132499861,15.0,5.012869724483815,0.22291067517175733,0.24605225854030474
next_open,stress,15,unlimited,symbol_order,0.01,790,176,0.18219461697722567,10.770650553104932,1.7268194869399789,-2.914791132499861,15.0,5.012869724483815,0.22291067517175733,0.24605225854030474
next_open,cluster_stress,15,unlimited,largest_drop,0.01,790,176,0.18219461697722567,10.764985139405248,1.7259486531236101,-2.8663015994702445,15.0,4.8157594746238335,0.21602903194514284,0.2027704290642277
next_open,stress,unlimited,2,liquidity_priority,0.01,781,185,0.1915113871635611,10.764851515990692,1.7259281133483295,-2.930194291814703,18.0,5.034827696941127,0.24191051477784112,0.20612683170037693
next_open,stress,20,2,liquidity_priority,0.01,781,185,0.1915113871635611,10.764851515990692,1.7259281133483295,-2.930194291814703,18.0,5.034827696941127,0.24191051477784112,0.20612683170037693
next_open,stress,unlimited,2,largest_drop,0.01,781,185,0.1915113871635611,10.764851515990692,1.7259281133483295,-2.930194291814703,18.0,5.034827696941127,0.24191051477784112,0.20612683170037693
next_open,stress,unlimited,2,symbol_order,0.01,781,185,0.1915113871635611,10.764851515990692,1.7259281133483295,-2.930194291814703,18.0,5.034827696941127,0.24191051477784112,0.20612683170037693
next_open,stress,20,2,largest_drop,0.01,781,185,0.1915113871635611,10.764851515990692,1.7259281133483295,-2.930194291814703,18.0,5.034827696941127,0.24191051477784112,0.20612683170037693
next_open,stress,20,2,symbol_order,0.01,781,185,0.1915113871635611,10.764851515990692,1.7259281133483295,-2.930194291814703,18.0,5.034827696941127,0.24191051477784112,0.20612683170037693
next_close,stress,15,2,largest_drop,0.01,768,198,0.20496894409937888,10.41671911025639,1.672345144435261,-2.3339042587113834,15.0,4.849400673312333,0.22278660575538387,0.184903759907762
next_close,stress,15,2,liquidity_priority,0.01,768,198,0.20496894409937888,10.129613413779136,1.6280491885437343,-2.4340621878452096,15.0,4.752873593952482,0.2291010919058814,0.17852141047641057
next_close,stress,15,2,symbol_order,0.01,768,198,0.20496894409937888,10.129613413779136,1.6280491885437343,-2.4340621878452096,15.0,4.752873593952482,0.2291010919058814,0.17852141047641057
next_close,cluster_stress,15,unlimited,largest_drop,0.01,790,176,0.18219461697722567,10.012166558316293,1.6099012451576078,-2.3590921705949786,15.0,4.635908420823192,0.22284381748572527,0.2034980498159839
next_open,stress,15,2,largest_drop,0.01,768,198,0.20496894409937888,9.96105180439848,1.6019979307893895,-2.930194291814703,15.0,4.712779515584387,0.255553951990838,0.19941659026016617
next_close,cluster_stress,20,2,symbol_order,0.01,781,185,0.1915113871635611,9.916315189815705,1.5950782876398284,-2.3687706486533178,18.0,4.590461762880689,0.2241174788887219,0.17955357474143707
next_close,cluster_stress,unlimited,2,symbol_order,0.01,781,185,0.1915113871635611,9.916315189815705,1.5950782876398284,-2.3687706486533178,18.0,4.590461762880689,0.2241174788887219,0.17955357474143707
next_close,cluster_stress,20,2,largest_drop,0.01,781,185,0.1915113871635611,9.916315189815705,1.5950782876398284,-2.3687706486533178,18.0,4.590461762880689,0.2241174788887219,0.17955357474143707
next_close,cluster_stress,unlimited,2,largest_drop,0.01,781,185,0.1915113871635611,9.916315189815705,1.5950782876398284,-2.3687706486533178,18.0,4.590461762880689,0.2241174788887219,0.17955357474143707
