entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,ADAUSDT,11,15.945429740791267,3.273962704959448,0.7080504192348425,0.3601358975455393,0.6363636363636364,12.599096489121763,0.8618479808725105,1.0376537025698696,-0.23780515031100663,3,8.542543153719357,-5.946053080370393,2025-10,2025-06,ADAUSDT,ADAUSDT,0.5842254068183345,1.0000000000000002,0.8333333333333334,1.0,1.0454545454545454,4
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,AVAXUSDT,12,17.395014262681382,-0.08001046728107081,0.9725716896723882,-0.009601256073728498,0.6666666666666666,8.360682309522351,-0.03315092939491423,-0.03991328563007169,-0.32647575864853706,3,3.980448630530358,-8.20092866290393,2026-02,2025-10,AVAXUSDT,AVAXUSDT,,,0.6666666666666666,0.0,1.0833333333333333,4
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,LINKUSDT,13,18.8445987845715,2.0870465533983458,1.0031789644913494,0.271316051941785,0.6153846153846154,10.431894526361262,0.7213410127511038,0.8684851497115768,-0.23694042068199594,2,6.715513237595985,-5.318500141317878,2025-10,2026-01,LINKUSDT,LINKUSDT,0.4545886719928484,0.9999999999999996,0.8571428571428571,1.0,1.0384615384615385,4
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,LTCUSDT,7,10.147091653230806,2.005141956366978,0.19507182013961627,0.14035993694568846,0.5714285714285714,3.9529504658227697,1.3420625949645801,1.6158258203908518,-0.0271922621844869,2,4.237572933289288,-0.971432679529436,2026-02,2026-01,LTCUSDT,LTCUSDT,0.5959859304392914,0.9999999999999998,0.75,1.0,0.6428571428571429,2
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,XRPUSDT,9,13.046260697011038,3.773090331566272,1.6684513838532886,0.33957812984096447,0.8888888888888888,7.97487234615671,1.419367044809671,1.708899367451527,-0.07776211987752388,1,5.216753121481104,-7.776211987752387,2025-10,2025-05,XRPUSDT,XRPUSDT,0.4499734562898471,0.9999999999999999,1.0,1.0,0.8333333333333334,3
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,SOLUSDT,9,14.38949432310428,1.7866127486201162,0.7072829395637825,0.16079514737581047,0.7777777777777778,4.480574123656356,1.1962391644324526,1.5125840911680704,-0.049097872907589796,1,3.1505607886298153,-2.98720539141383,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6464493857021036,1.0,0.8,1.0,0.8333333333333334,3
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,ETHUSDT,6,18.55074508420774,2.451805406927867,1.855344020188345,0.14710832441567204,0.6666666666666666,3.6800765731762533,1.6319421827646063,2.869523738789221,-0.013015499974806416,1,4.0480831160088355,-0.740750011234068,2026-02,2026-01,ETHUSDT,ETHUSDT,0.7601388613797645,1.0,0.6666666666666666,1.0,0.6666666666666666,2
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,BNBUSDT,3,9.276190476190477,6.643270484252597,8.019290154414685,0.19929811452757792,0.6666666666666666,6.504403553883442,1.7690295369631968,3.1107082843639797,0.0,1,10.184430113105462,-0.43904877345313004,2025-10,2026-02,BNBUSDT,BNBUSDT,0.5976233807618379,1.0,1.0,1.0,0.8333333333333334,2
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,BTCUSDT,1,365.25,8.893062236546148,8.893062236546148,0.08893062236546148,1.0,0.0,0.0,0.0,0.0,0,8.893062236546148,0.0,2026-02,2026-02,BTCUSDT,BTCUSDT,1.0,1.0,1.0,1.0,0.5,1
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,stress,6,8.0,10.0,ADAUSDT,11,15.945429740791267,4.148971727593349,0.7464120475233306,0.4563868900352684,0.6363636363636364,11.11958758590338,1.2375083500097124,1.489943876237566,-0.10372307928723368,2,8.23481807785277,-3.0012593853606395,2025-10,2026-01,ADAUSDT,ADAUSDT,0.7968215860337244,1.0,0.6666666666666666,1.0,1.0454545454545454,4
