entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-05,5,1826.25,1.9048621838361555,1.75776646159679,0.09524310919180778,1.0,0.48029305008846745,8.86833846553013,169.48738231087668,0.0,0,1.9048621838361555,0.0,2025-05,2025-05,XRPUSDT,AVAXUSDT,1.0,0.26390737977933465,1.0,1.0,2.5,5
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-06,4,152.95092693565977,-0.9484274485573031,-0.24683267132917294,-0.03793709794229212,0.5,2.21701530965931,-0.8555894444437089,-5.290679809621586,-0.006809627661566543,2,0.5136070686420575,-2.4104619657566637,2025-06,2025-06,SOLUSDT,AVAXUSDT,,,0.0,0.5,1.25,3
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-10,27,521.6132231404958,3.3330723037160976,1.9694939537009424,0.8999295220033464,0.5925925925925926,12.463063077759257,1.3896384554867067,6.1079326272183,-0.5746733986953606,9,10.315016675558548,-6.822483146236556,2025-10,2025-10,ADAUSDT,AVAXUSDT,1.0000000000000002,0.3197765513734002,1.0,0.875,12.537037037037036,26
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-11,4,1461.0,0.9957588379637999,1.011382654912937,0.039830353518552,1.0,0.5589669366319946,3.562854160797617,68.09154021535262,0.0,0,0.9957588379637999,0.0,2025-11,2025-11,ADAUSDT,SOLUSDT,1.0,0.39157276371059385,1.0,1.0,2.0,4
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2026-01,15,431.1147540983606,0.10575197017948516,0.2627828638073449,0.015862795526922775,0.6,0.8778440843521451,0.46656989166366486,2.501310022494473,-0.04381684605084346,5,0.679645245315341,-0.7550879425242986,2026-01,2026-01,XRPUSDT,ETHUSDT,1.0000000000000007,1.8021023067151523,1.0,0.42857142857142855,2.7,6
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2026-02,15,5478.75,5.165424522662903,7.5308881313173845,0.7748136783994355,0.8,4.324123600358949,4.626510479650521,88.41962375225283,-0.018402902537534606,2,6.669893893087854,-0.8524529590368937,2026-02,2026-02,XRPUSDT,AVAXUSDT,1.0000000000000002,0.18861755768449673,1.0,1.0,3.3,9
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,stress,12,8.0,10.0,2025-05,5,1826.25,0.4492358490849858,0.35310733363074676,0.022461792454249292,1.0,0.23534631259593597,4.268271235710924,81.57312912055292,0.0,0,0.4492358490849858,0.0,2025-05,2025-05,XRPUSDT,LTCUSDT,1.0,0.3865421977209775,1.0,1.0,2.5,5
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,stress,12,8.0,10.0,2025-06,4,152.95092693565977,-0.6708617398530466,-0.235848205819834,-0.026834469594121866,0.5,1.7528794607113116,-0.7654396721390226,-4.733223680082149,-0.006720306314845388,2,0.5522358097295389,-1.8939592894356323,2025-06,2025-06,SOLUSDT,AVAXUSDT,,,0.0,0.5,1.25,3
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,stress,12,8.0,10.0,2025-10,27,521.6132231404958,5.020656369063295,2.662002010931224,1.3555772196470897,0.7407407407407407,10.694301424327577,2.439438979748606,10.722162212541882,-0.1373175954191443,2,8.5081350219709,-4.943568353529863,2025-10,2025-10,ADAUSDT,LTCUSDT,1.0,0.32961075224428865,1.0,1.0,12.537037037037036,26
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,stress,12,8.0,10.0,2025-11,4,1461.0,1.37544014945142,1.5922781324874729,0.0550176059780568,1.0,0.8203038459797368,3.3534894568454727,64.09026356594822,0.0,0,1.37544014945142,0.0,2025-11,2025-11,AVAXUSDT,SOLUSDT,0.9999999999999999,0.38006549209906354,1.0,1.0,2.0,4
