entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_open,drop3_breadth4,-0.03,4,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,71,102.92050105419818,2.249897948498926,-0.17274789248235653,1.5974275434342373,0.49295774647887325,7.713718447484194,2.4576962741746513,2.9590341861771394,-0.39233846199432376,14,6.881891830084712,-2.253429436376144,2025-10,2026-01,ADAUSDT,SOLUSDT,0.8004748079029017,0.27654524354193677,0.5714285714285714,0.8888888888888888,3.415492957746479,13
next_open,drop4_breadth5,-0.04,5,pure_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,4.437226867102417,3.0948626135068924,1.5974016721568702,0.7222222222222222,10.890160991320762,2.4447169535723834,2.943407253842565,-0.619546398337892,9,8.530037314432995,-6.204080295957086,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.607051599324137,0.2875558598045925,1.0,1.0,7.777777777777778,22
next_open,drop4_breadth4,-0.04,4,pure_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,4.437226867102417,3.0948626135068924,1.5974016721568702,0.7222222222222222,10.890160991320762,2.4447169535723834,2.943407253842565,-0.619546398337892,9,8.530037314432995,-6.204080295957086,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.607051599324137,0.2875558598045925,1.0,1.0,7.777777777777778,22
next_open,drop3_breadth5,-0.03,5,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,70,101.47091653230807,2.271233249627495,-0.17742737202180542,1.5898632747392467,0.4857142857142857,7.76730358205924,2.44647328487015,2.9455218537656527,-0.3999027306893144,14,7.062052564219585,-2.253429436376144,2025-10,2026-01,ADAUSDT,SOLUSDT,0.8042833156071517,0.277860993494596,0.5,0.8888888888888888,3.4571428571428573,13
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,stress,6,8.0,10.0,71,102.92050105419818,2.20901770528979,0.8998489141583345,1.568402570755751,0.676056338028169,8.254193011721153,2.255037410675821,2.7150355637573576,-0.8963418415375739,9,5.470809972947729,-4.598200940257209,2026-02,2025-06,ADAUSDT,AVAXUSDT,0.549738182210551,0.2167636319497478,0.7142857142857143,0.8888888888888888,5.598591549295775,23
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,70,101.47091653230807,2.2284797437149657,0.9281729382687721,1.5599358206004759,0.6714285714285714,8.312149888158846,2.2430778397815905,2.7006363967407085,-0.9048085916928492,9,5.5691958231056065,-4.598200940257209,2026-02,2025-06,ADAUSDT,AVAXUSDT,0.5527219561441479,0.21794014414353924,0.6666666666666666,0.8888888888888888,5.671428571428572,23
next_open,drop4_breadth4,-0.04,4,scaled_exit_6_12,base,12,4.0,5.0,36,52.18504278804415,4.202277073515556,2.935679616960892,1.5128197464656,0.75,10.973329404000163,2.297722187388457,2.7664274769279324,-0.7456013329394021,9,8.364522516314823,-8.284459254882247,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.5117401029033589,0.2686917848909371,1.0,1.0,7.777777777777778,22
next_open,drop4_breadth5,-0.04,5,scaled_exit_6_12,base,12,4.0,5.0,36,52.18504278804415,4.202277073515556,2.935679616960892,1.5128197464656,0.75,10.973329404000163,2.297722187388457,2.7664274769279324,-0.7456013329394021,9,8.364522516314823,-8.284459254882247,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.5117401029033589,0.2686917848909371,1.0,1.0,7.777777777777778,22
next_close,drop3_breadth4,-0.03,4,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,71,102.92050105419818,2.122702448121098,0.14379887773483996,1.5071187381659794,0.5633802816901409,7.659070024107187,2.335297718320766,2.8116679249689733,-0.44982702643372413,11,5.693898042018084,-2.4852918665846913,2025-10,2026-01,ADAUSDT,SOLUSDT,0.7704377220620159,0.27310269950921134,0.7142857142857143,1.0,4.809859154929577,15
next_close,drop3_breadth5,-0.03,5,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,70,101.47091653230807,2.1504755094084143,0.1147829431644977,1.5053328565858901,0.5571428571428572,7.710769036266004,2.333381908212112,2.8093613146423437,-0.4516129080138135,11,5.835316244172165,-2.4852918665846913,2025-10,2026-01,ADAUSDT,SOLUSDT,0.7713517461799488,0.2734267003296228,0.6666666666666666,1.0,4.871428571428571,15
next_open,drop4_breadth4,-0.04,4,scaled_exit_6_12,stress,12,8.0,10.0,36,52.18504278804415,4.018046859433974,2.7527153679862963,1.4464968693962306,0.7222222222222222,10.962361553037718,2.199186830316077,2.6477921951039973,-0.7610588069981704,9,8.491746759131189,-7.613572879778788,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.5072877491326762,0.27201846368953553,1.0,1.0,7.777777777777778,22
next_open,drop4_breadth5,-0.04,5,scaled_exit_6_12,stress,12,8.0,10.0,36,52.18504278804415,4.018046859433974,2.7527153679862963,1.4464968693962306,0.7222222222222222,10.962361553037718,2.199186830316077,2.6477921951039973,-0.7610588069981704,9,8.491746759131189,-7.613572879778788,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.5072877491326762,0.27201846368953553,1.0,1.0,7.777777777777778,22
next_open,drop4_breadth5,-0.04,5,pure_horizon_6,base,6,4.0,5.0,36,52.18504278804415,3.7826776759347944,2.5717551048834464,1.361763963336526,0.7222222222222222,11.239974006978134,2.0192276282416954,2.431123668300749,-0.8872553248707681,9,8.718526282490325,-9.050528701109592,2026-02,2026-01,ADAUSDT,AVAXUSDT,0.5511420668048433,0.25007856763771347,1.0,0.875,6.833333333333333,20
next_open,drop4_breadth4,-0.04,4,pure_horizon_6,base,6,4.0,5.0,36,52.18504278804415,3.7826776759347944,2.5717551048834464,1.361763963336526,0.7222222222222222,11.239974006978134,2.0192276282416954,2.431123668300749,-0.8872553248707681,9,8.718526282490325,-9.050528701109592,2026-02,2026-01,ADAUSDT,AVAXUSDT,0.5511420668048433,0.25007856763771347,1.0,0.875,6.833333333333333,20
