timeframe,event_type,direction,param_name,param_value,horizon,symbols_with_event,total_occurrences,avg_forward_return,median_of_symbol_medians,weighted_win_rate,mean_std_forward_return,best_symbol_avg_return,worst_symbol_avg_return
15m,combo_volume_return,up,ret_atr_and_vol_z,1_1.5,3,9,6709,0.00012216785608847201,-0.0004472817468385015,0.4645997913250857,0.008686817893335778,0.0005530593797854355,-0.0004418465944794614
15m,funding_extreme,negative,funding_z_abs,1.5,3,9,26258,0.00011437386550088522,0.00022862368541387568,0.5089496534389519,0.006766926928089891,0.0006323617067665023,-0.00027955256675037734
15m,volume_spike,all,volume_z,2.0,3,9,21405,8.885446247939719e-05,4.048615778251552e-05,0.49918243401074514,0.00983863035651863,0.0005746538115729046,-0.0001255294488975923
15m,volatility_expansion,all,atr_jump,1.5,3,9,28778,7.331735718702683e-05,0.0,0.5015289457224269,0.008992834956086417,0.00026944030157084796,-0.00012697478199656594
15m,funding_extreme,negative,funding_z_abs,2.0,3,9,13980,6.28548505077663e-05,0.00011388309649185135,0.505937052932761,0.0071361205011671825,0.0006259586165829989,-0.00025286601894312753
15m,volume_spike,all,volume_z,1.5,3,9,29861,3.915991335597586e-05,1.5885720357045052e-05,0.49814138843307326,0.009331156938748744,0.00041103112752061507,-0.00011428778246748299
15m,large_return_atr,up,return_atr_abs,1.5,3,9,6258,3.2492652649354394e-05,-0.00023924610744019414,0.46899968040907636,0.008372657465948917,0.00045321959382792085,-0.0004314484333551075
15m,volatility_expansion,all,atr_jump,1.2,3,9,75694,1.6948646166761897e-05,6.71792260045212e-05,0.5035537823341348,0.00821402043286696,7.31992391510545e-05,-6.492506215871395e-05
1h,volatility_expansion,all,atr_jump,1.2,3,9,18210,3.5486014451827104e-06,0.0001349539779301745,0.5053816584294344,0.01376467101833013,0.0005117893363788837,-0.0008184830180032382
15m,large_return_pct,down,return_pct_abs,0.005,3,9,18762,-1.1750281246205308e-05,0.00037050759540591116,0.5178552393135061,0.010887594943004463,0.00018751638588801914,-0.0001848227609402674
15m,large_return_atr,up,return_atr_abs,1.0,3,9,18683,-4.1029010881344114e-05,-0.00033909554312028245,0.4640047101643205,0.007337477629498365,0.00012310589793217773,-0.00023511286808016496
15m,funding_extreme,positive,funding_z_abs,2.0,3,6,2426,-5.2460602653368245e-05,-0.0005945193984490116,0.4962901896125309,0.008602163059137446,0.0005829963709782476,-0.005460147508227485
1h,funding_extreme,negative,funding_z_abs,2.0,3,9,3492,-6.924587038808862e-05,0.00018092998009766603,0.5108820160366552,0.013290655096619183,0.001934919539109064,-0.001289501019531252
15m,funding_flip,up,flip,neg_to_pos,3,8,35877,-9.344749981218397e-05,-4.753651770253442e-05,0.48780555787830643,0.006232894929197277,8.732410144684655e-05,-0.00027264484249232254
