timeframe,param_id,friction_case,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
4h,n100_atr14_m1.5_vz1.5_cl0.7_cs0.3,stress,100,14,1.5,1.5,0.7,0.3,182,-0.04405855892829144,-8.018657724949042,-25.2915111062204,0.9259179609071975,177,-0.12805426389112612,-22.665604708729322,-33.43037490940606,0.7910164351559158,-0.08399570496283468,-5
4h,n20_atr14_m1.5_vz1.5_cl0.8_cs0.2,stress,20,14,1.5,1.5,0.8,0.2,351,-0.13964769639430522,-49.016341434401134,-62.20072164123839,0.786228723171098,346,-0.22504821441736295,-77.86668218840758,-96.85779609584654,0.6601506642793661,-0.08540051802305773,-5
4h,n20_atr14_m1.5_vz2_cl0.7_cs0.3,stress,20,14,1.5,2.0,0.7,0.3,393,-0.0981384001977938,-38.568391277732964,-53.372722385111906,0.8424312086358164,385,-0.18417896879168238,-70.90890298479772,-84.09700843975229,0.7106027702806358,-0.08604056859388859,-8
4h,n20_atr14_m2_vz2_cl0.75_cs0.25,stress,20,14,2.0,2.0,0.75,0.25,286,-0.088483827790966,-25.306374748216278,-46.55617294455017,0.86077354962941,280,-0.1750580459271876,-49.01625285961253,-68.93130997364052,0.7281489909910008,-0.0865742181362216,-6
4h,n20_atr14_m2_vz2_cl0.7_cs0.3,stress,20,14,2.0,2.0,0.7,0.3,323,-0.09879777172443273,-31.911680266991773,-48.91456930381861,0.8443479403455934,317,-0.18562489619895955,-58.84309209507018,-75.3230639184493,0.7148639762970767,-0.08682712447452683,-6
4h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,stress,20,14,1.2,1.5,0.75,0.25,430,-0.11507134348825586,-49.48067769995002,-68.39633971035846,0.8191648246865313,420,-0.20314345422931232,-85.32025077631117,-102.87833465313321,0.6834196933666975,-0.08807211074105646,-10
4h,n20_atr14_m1.5_vz2_cl0.75_cs0.25,stress,20,14,1.5,2.0,0.75,0.25,353,-0.09362266824902957,-33.04880189190744,-50.939282976143645,0.8511413738146218,346,-0.1821879609267477,-63.037034480654704,-76.81828821547462,0.7136607666252565,-0.08856529267771812,-7
4h,n100_atr14_m2_vz1_cl0.8_cs0.2,stress,100,14,2.0,1.0,0.8,0.2,117,-0.209388713329766,-24.498479459582622,-24.461981812848453,0.687801945967812,116,-0.2990579801958097,-34.69072570271393,-42.121489412198336,0.5705227383141346,-0.0896692668660437,-1
4h,n100_atr14_m1.5_vz1.5_cl0.75_cs0.25,stress,100,14,1.5,1.5,0.75,0.25,166,-0.12595658455222244,-20.908793035668925,-31.484490210356604,0.8022534330905855,161,-0.215807096745356,-34.744942576002316,-38.700193534295614,0.6686946400271299,-0.08985051219313356,-5
4h,n50_atr14_m1.2_vz2_cl0.7_cs0.3,stress,50,14,1.2,2.0,0.7,0.3,229,-0.13433366022035845,-30.762408190462086,-33.80264953027323,0.7954918041021586,225,-0.22521595544440806,-50.67358997499181,-56.51428867192223,0.6625973480251588,-0.09088229522404961,-4
4h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,stress,100,14,1.2,1.5,0.75,0.25,173,-0.13760544098407704,-23.805741290245326,-34.57745497895064,0.7870743923066168,168,-0.23236114625718388,-39.03667257120689,-40.090030437541316,0.648661118036943,-0.09475570527310684,-5
4h,n20_atr14_m1.5_vz1.5_cl0.75_cs0.25,stress,20,14,1.5,1.5,0.75,0.25,409,-0.10435300683967133,-42.68037979742557,-61.80167047592448,0.8356394360812782,401,-0.2010142261642807,-80.60670469187656,-96.26856014651618,0.6871899552726021,-0.09666121932460936,-8
4h,n20_atr14_m2_vz1_cl0.75_cs0.25,stress,20,14,2.0,1.0,0.75,0.25,352,-0.1141091916905716,-40.1664354750812,-57.71357904820808,0.8255008896225264,344,-0.21099388875423697,-72.58189773145752,-86.68720283006071,0.6798331628227736,-0.09688469706366537,-8
4h,n20_atr14_m1.5_vz1.5_cl0.7_cs0.3,stress,20,14,1.5,1.5,0.7,0.3,449,-0.09952374329729909,-44.68616074048729,-57.86739482609551,0.8410501103866571,440,-0.19831427632091375,-87.25828158120206,-102.32698875597632,0.690235080030803,-0.09879053302361467,-9
4h,n20_atr14_m2_vz1.5_cl0.75_cs0.25,stress,20,14,2.0,1.5,0.75,0.25,321,-0.09523091654682173,-30.569124211529775,-49.40041147601161,0.8521495112198534,313,-0.19749152604048,-61.814847650670245,-78.51397019172015,0.6984705403048993,-0.10226060949365828,-8
4h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,stress,100,14,2.0,1.5,0.75,0.25,134,-0.0927494024681776,-12.4284199307358,-20.48865187290311,0.8492977234570294,131,-0.19632175599551305,-25.718150035412208,-30.238671627803146,0.6965992985934067,-0.10357235352733545,-3
4h,n50_atr14_m1.5_vz2_cl0.7_cs0.3,stress,50,14,1.5,2.0,0.7,0.3,225,-0.1235826296858968,-27.80609167932678,-31.665009744616547,0.811123781523966,221,-0.22887756437943121,-50.5819417278543,-55.43477595483965,0.6583275251470465,-0.10529493469353442,-4
4h,n20_atr14_m2_vz1_cl0.7_cs0.3,stress,20,14,2.0,1.0,0.7,0.3,393,-0.1163452424336561,-45.72368027642685,-58.90868083194798,0.8212202985109776,385,-0.22209884499520105,-85.5080553231524,-96.76313679889711,0.6661973184920307,-0.10575360256154495,-8
4h,n50_atr14_m2_vz2_cl0.7_cs0.3,stress,50,14,2.0,2.0,0.7,0.3,190,-0.09245926206572994,-17.567259792488688,-27.88264040748409,0.8564723185113342,187,-0.20004625995458802,-37.40865061150796,-46.628792938229026,0.7003449228671873,-0.10758699788885809,-3
4h,n20_atr14_m2_vz1.5_cl0.7_cs0.3,stress,20,14,2.0,1.5,0.7,0.3,359,-0.0940006045216521,-33.746217023273104,-49.40265667673602,0.8525071815993176,351,-0.20273626711347015,-71.16042975682802,-83.33999574038064,0.6918631999569957,-0.10873566259181805,-8
4h,n50_atr14_m2_vz2_cl0.75_cs0.25,stress,50,14,2.0,2.0,0.75,0.25,169,-0.16014936984389622,-27.06524350361846,-34.941069923920885,0.7624609229082256,166,-0.27039483888297183,-44.88554325457332,-46.87542353247259,0.609314446925935,-0.11024546903907562,-3
4h,n100_atr14_m2_vz1_cl0.75_cs0.25,stress,100,14,2.0,1.0,0.75,0.25,139,-0.055748482311687414,-7.749039041324551,-20.239110355262923,0.9084740170814081,136,-0.1668831234154975,-22.696104784507657,-30.577308006471547,0.7385800680913975,-0.11113464110381008,-3
4h,n50_atr14_m1.2_vz2_cl0.75_cs0.25,stress,50,14,1.2,2.0,0.75,0.25,207,-0.16436221637028262,-34.0229787886485,-41.051027598795415,0.7563581260999281,204,-0.2811484541818972,-57.35428465310703,-57.38830299532312,0.588684916221646,-0.1167862378116146,-3
4h,n50_atr14_m1.5_vz2_cl0.75_cs0.25,stress,50,14,1.5,2.0,0.75,0.25,203,-0.16794292574831732,-34.092413926908414,-40.873979764385034,0.7520655516239009,200,-0.2864239558831443,-57.28479117662886,-57.279609284003214,0.5828320499141936,-0.11848103013482697,-3
4h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,stress,100,14,2.0,1.5,0.7,0.3,150,-0.00017650766425424033,-0.02647614963813605,-17.79010332636381,0.9996906132736372,148,-0.11887272436526865,-17.59316320605976,-28.316134990739357,0.8055318012834966,-0.1186962167010144,-2
4h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,stress,100,14,1.5,2.0,0.8,0.2,116,-0.28323989095225177,-32.855827350461205,-38.88356608224655,0.6020252351839591,115,-0.4032426084808101,-46.372899975293166,-47.42625784162759,0.45039437815628536,-0.12000271752855834,-1
