symbol,timeframe,param_id,friction_case,entry_mode,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,room_structure,available_room_r,ema_200_at_signal,ema_200_slope_at_signal,ema_distance_atr_at_signal,gross_r,fee_r,net_r,exit_reason,taker_fee_bps_per_side,slippage_bps_per_side,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr
ETHUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-22 02:00:00+00:00,2026-04-22 03:00:00+00:00,2026-04-22 15:00:00+00:00,long,2362.69,2363.871345,2402.69,2401.488655,2329.9295592857143,2431.7549164285715,22.627857142857142,33.941785714285714,2346.84,2.0000000000000018,2311.029751764859,0.8789212942365339,2.5919488471604835,1.1082890663636293,0.05615921377989626,1.052129852583733,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-22 02:00:00+00:00,2026-04-22 03:00:00+00:00,2026-04-22 15:00:00+00:00,long,9.503,9.5077515,9.484,9.479258,9.368894357142857,9.785465785714285,0.09257142857142865,0.13885714285714298,9.487,1.9999999999999971,9.256931474533086,0.011374193282930989,2.7121599973277584,-0.2052001028806563,0.05469508909465016,-0.25989519197530647,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-22 02:00:00+00:00,2026-04-22 03:00:00+00:00,2026-04-22 15:00:00+00:00,long,87.21,87.253605,88.13,88.085935,85.99896214285714,89.7628907142857,0.83642857142857,1.254642857142855,86.87,2.0,85.46017282603974,0.025964325641083974,2.3072229236074913,0.6633999430686139,0.05590102043837186,0.6074989226302421,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-27 00:00:00+00:00,2026-04-27 01:00:00+00:00,2026-04-27 04:00:00+00:00,long,0.2559,0.25602795,0.25349937857142857,0.25337262888214285,0.25349937857142857,0.2610850928571429,0.0016857142857142904,0.0025285714285714356,0.2543,2.0,0.25012108026982055,0.00023334959454632265,2.7163083145132148,-1.0501269957627144,0.08058314242203368,-1.1307101381847482,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-27 00:00:00+00:00,2026-04-27 01:00:00+00:00,2026-04-27 05:00:00+00:00,long,1.4441,1.44482205,1.4349863357142856,1.4342688425464285,1.4349863357142856,1.4644934785714285,0.006557142857142865,0.009835714285714297,1.4377,1.999999999999997,1.4247278136041976,0.00039469269556935416,2.1460850712552704,-1.0729477440087174,0.11708721131633976,-1.190034955325057,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-27 15:00:00+00:00,2026-04-27 16:00:00+00:00,2026-04-27 23:00:00+00:00,short,9.199,9.1944005,9.289221928571429,9.293866539535713,9.289221928571429,9.004757642857143,0.06321428571428557,0.09482142857142836,9.255,2.0000000000000053,9.343438064587373,-0.004323488421789534,2.6170993268058886,-1.04898271450093,0.07799193628730715,-1.1269746507882372,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n50_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,2025-05-19 04:00:00+00:00,2025-05-19 05:00:00+00:00,2025-05-19 16:00:00+00:00,short,95.25,95.202375,98.06523214285714,98.11426475892857,98.06523214285714,89.47666071428571,1.9085714285714286,2.862857142857143,95.57,2.0000000000000013,98.63642708313043,-0.0583314794715335,1.8057626932569621,-1.0171271613023936,0.027010308948353295,-1.0441374702507469,stop,4.0,5.0,50,14,1.5,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n50_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,2025-05-22 08:00:00+00:00,2025-05-22 09:00:00+00:00,2025-05-22 21:00:00+00:00,long,2.431,2.4322155,2.4112,2.4099944,2.3981976428571428,2.500251214285714,0.022678571428571454,0.03401785714285718,2.4284,1.9999999999999951,2.381772633764416,0.002618566680298695,2.3073484324352016,-0.6532186876640378,0.0569372712650918,-0.7101559589291296,time_stop,4.0,5.0,50,14,1.5,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n50_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,2025-05-29 02:00:00+00:00,2025-05-29 03:00:00+00:00,2025-05-29 04:00:00+00:00,long,24.191,24.203095499999996,23.66920264285714,23.65736804153571,23.66920264285714,25.27088121428571,0.3559285714285712,0.5338928571428568,24.018,1.9999999999999971,23.315268877062866,0.007832560328896676,2.598080618326281,-1.0221666223158725,0.035857729056472026,-1.0580243513723446,stop,4.0,5.0,50,14,1.5,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n50_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,2025-05-30 16:00:00+00:00,2025-05-30 17:00:00+00:00,2025-05-30 20:00:00+00:00,short,2548.06,2546.78597,2589.0677557142853,2590.362289592142,2589.0677557142853,2462.2223985714286,28.18785714285705,42.281785714285576,2556.0,2.000000000000004,2601.1273318837902,-0.12478667376126396,2.1937578145935857,-1.0306168213094007,0.048599160823583426,-1.079215982132984,stop,4.0,5.0,50,14,1.5,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n50_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,2025-06-09 21:00:00+00:00,2025-06-09 22:00:00+00:00,2025-06-10 10:00:00+00:00,long,14.367,14.374183500000001,14.6,14.5927,14.171897785714286,14.778754928571429,0.13485714285714273,0.2022857142857141,14.088,1.9999999999999987,13.937803089762507,0.005880595153660906,2.6042143767610684,1.0802369350282486,0.05727914816384187,1.0229577868644066,time_stop,4.0,5.0,50,14,1.5,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
