timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n50_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,50,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,51,54.189818181818175,0.29411764705882354,-0.35390877372252694,-18.049347459848875,-18.205855243422246,7,0.45045700870119243,0.9863292705036246,-0.91234129215009
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,100,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,9,18.748574144486692,0.3333333333333333,-0.35413334072017855,-3.187200066481607,-3.2638648080364314,5,0.40885050651223215,0.7347765530783281,-0.8985882876194319
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,10,14.486861675756073,0.3,-0.35560816751639185,-3.5560816751639184,-2.7864363743618648,4,0.38266879416606897,0.7347765530783281,-0.8229159049141289
1h,n20_atr14_m1.2_vz1_cl0.75_cs0.25,base,next_close,20,14,1.2,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,113,118.21911922663803,0.2920353982300885,-0.3607093695605501,-40.760158760342165,-42.6507378954027,11,0.48179437800490216,1.148369196704344,-0.9832042781448189
1h,n50_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,50,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,32,34.00145454545454,0.3125,-0.36099490057336564,-11.5518368183477,-10.507699348096956,5,0.4217786759446204,0.8426390095402916,-0.9081012233523008
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,19,21.133612485725163,0.3157894736842105,-0.36779757397700447,-6.988153905563085,-7.37899354028471,4,0.40721485584392364,0.8000875509232214,-0.9068214777771086
1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,20,14,2.0,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,41,45.07223476297968,0.3170731707317073,-0.3682336443810084,-15.097579419621345,-15.739956933170683,8,0.5036782550315918,1.1785658945209765,-1.0863905731569299
1h,n50_atr14_m1.2_vz2_cl0.75_cs0.25,base,next_close,50,14,1.2,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,33,35.064,0.30303030303030304,-0.36909362589843847,-12.18008965464847,-11.135952184397727,5,0.40891943687673793,0.8426390095402916,-0.8959339021761472
1h,n50_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,50,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,34,36.12654545454545,0.29411764705882354,-0.3695422657970113,-12.564437037098385,-11.520299566847637,5,0.39219323277113655,0.8107325296813528,-0.8613234305796631
1h,n20_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,52,57.1647855530474,0.28846153846153844,-0.3712390660718095,-19.304431435734095,-20.95095292754012,10,0.48403593875272033,1.2073242167933187,-1.0111971537198345
1h,n50_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,50,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,51,54.189818181818175,0.29411764705882354,-0.37310790433487473,-19.02850312107861,-17.98436565082787,9,0.4158025358202389,0.9029024528794392,-0.9047788865075055
1h,n50_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,50,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,42,44.62690909090909,0.2857142857142857,-0.3884455871835797,-16.314714661710347,-15.270577191459601,6,0.38112136725429685,0.837251714800234,-0.8787245079771052
1h,n20_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,20,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,57,62.661399548532735,0.2807017543859649,-0.3921199851516012,-22.350839153641267,-23.997360645447298,10,0.4568319460654164,1.1748869977705318,-1.003634905316336
1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,20,14,1.2,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,87,92.44145454545453,0.27586206896551724,-0.3947701597664155,-34.34500389967815,-33.30086642942738,10,0.4489087842904096,1.1657003949278022,-0.9892351329832603
