event_definition,dislocation_definition,entry_mode,exit_model,friction_case,symbol,total_trades,trades_year,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,profit_factor,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate
basket_return_le_1%,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,64,10.097624190064796,-0.07815667469516098,0.04321000445008335,0.53125,-0.05002027180490303,-0.158478654039428,-0.3343593391288319,0.8955033300912585,,,0.6666666666666666,0.0
breadth_down_1pct_ge_4,bottom_1_performer,next_open,scaled_exit_6_12,base,ETHUSDT,41,6.468790496760259,0.11650912967385828,0.13102315372046877,0.5609756097560976,0.04776874316628189,-0.08033491484644047,0.39351682750713424,1.1845498095963485,1.537482487330232,1.0,0.45454545454545453,1.0
breadth_down_1pct_ge_4,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,78,12.30647948164147,-0.2168392520391641,0.024924002383741112,0.5128205128205128,-0.16913461659054801,-0.20961321243442416,-1.0375909797593412,0.7320771612595984,,,0.4166666666666667,0.0
breadth_down_1pct_ge_5,bottom_1_performer,next_open,scaled_exit_6_12,base,ETHUSDT,35,5.522138228941685,0.16028181480351467,0.28158008296718334,0.5428571428571428,0.056098635181230136,-0.0826745230035669,0.4640015090431988,1.2306298484041884,1.3091870385557502,1.0,0.5,1.0
breadth_down_1pct_ge_5,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,64,10.097624190064796,-0.07815667469516098,0.04321000445008335,0.53125,-0.05002027180490303,-0.158478654039428,-0.3343593391288319,0.8955033300912585,,,0.6666666666666666,0.0
breadth_down_1pct_ge_6,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,83,13.095356371490281,-0.1788320656758872,0.03215802659204077,0.5180722891566265,-0.14843061451098635,-0.16237827370434305,-0.9055980747877761,0.7646628656228643,,,0.3333333333333333,0.0
breadth_down_1pct_ge_6,bottom_1_performer,next_open,scaled_exit_6_12,base,ETHUSDT,31,4.891036717062635,0.13518658235294473,0.28158008296718334,0.5483870967741935,0.04190784052941286,-0.12030312120785712,0.3834730997268391,1.2043616168646714,1.7525027568143958,1.0,0.6,1.0
breadth_down_1pct_ge_6,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,56,8.835421166306695,-0.04157838995064697,0.08639839497370191,0.5535714285714286,-0.023283898372362305,-0.17970378948716653,-0.1726265358394532,0.9390882878309355,,,0.75,0.0
btc_return_le_1%,rel_btc_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,16,2.524406047516199,-0.26490901880964846,-0.01629681010937071,0.5,-0.04238544300954375,-0.09466262844413788,-0.5739858093573801,0.6813297921965575,,,0.5714285714285714,0.0
btc_return_le_1%,symbol_zscore_le_-1,next_open,scaled_exit_6_12,base,ETHUSDT,99,15.619762419006479,-0.10607281928713072,-0.06587326829184163,0.48484848484848486,-0.10501209109425941,-0.29073636037282863,-0.5346240447198662,0.8651997870599895,,,0.4166666666666667,0.0
btc_return_le_1%,symbol_zscore_le_-2,next_open,scaled_exit_6_12,base,ETHUSDT,87,13.726457883369331,-0.02977928696328202,0.01768997817544145,0.5057471264367817,-0.025907979658055358,-0.19259568662547066,-0.1443462149494087,0.9583900938326132,,,0.5,0.0
btc_return_le_1%,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,24,3.7866090712742984,-0.11173317714624102,-0.01629681010937071,0.5,-0.026815962515097845,-0.08904287574531772,-0.30384946308631117,0.8469018572661964,,,0.6,0.0
btc_return_le_1%,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,46,7.2576673866090715,-0.3454064385377053,-0.043269480745556296,0.4782608695652174,-0.15888696172734443,-0.22233125198874343,-1.4167556969141242,0.5785178444256327,,,0.5,0.0
btc_return_le_1%,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,55,8.677645788336934,-0.24062202414083012,-0.020665693199270963,0.4909090909090909,-0.13234211327745657,-0.16658060877400666,-1.061476009965023,0.6928007540156891,,,0.5,0.0
basket_return_le_2%,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,7,1.1044276457883369,-0.27986166111126226,0.28158008296718334,0.7142857142857143,-0.01959031627778836,-0.05661086268832989,-0.40219697311506186,0.6539477522954826,,,0.7142857142857143,0.0
basket_return_le_2%,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,10,1.5777537796976242,-0.38959720971383954,0.20005744530323058,0.6,-0.038959720971383956,-0.05160702384972349,-0.5752848421391479,0.6334677331660481,,,0.5714285714285714,0.0
basket_return_le_3%,rel_btc_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,5,0.7888768898488121,0.7175099068335813,0.1185348076392779,0.6,0.03587549534167907,-0.015521555448333363,0.8587520915715883,3.1062545011206946,0.8452620731226693,1.0,0.6666666666666666,1.0
basket_return_le_3%,symbol_zscore_le_-1,next_open,scaled_exit_6_12,base,ETHUSDT,8,1.2622030237580995,2.1144225723885586,1.0536427611601058,0.625,0.1691538057910847,-0.0212341862871801,1.7612373257176508,8.436812762437144,0.5174317515012421,1.0,0.75,1.0
basket_return_le_3%,symbol_zscore_le_-2,next_open,scaled_exit_6_12,base,ETHUSDT,8,1.2622030237580995,2.1144225723885586,1.0536427611601058,0.625,0.1691538057910847,-0.0212341862871801,1.7612373257176508,8.436812762437144,0.5174317515012421,1.0,0.75,1.0
basket_return_le_3%,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,5,0.7888768898488121,0.9136883990233137,0.1185348076392779,0.6,0.045684419951165685,-0.005712630838846745,1.2744808447602076,7.3240527066765795,0.6637754315196589,1.0,0.6666666666666666,1.0
basket_return_le_3%,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,1,0.15777537796976243,0.1185348076392779,0.1185348076392779,1.0,0.001185348076392779,0.0,0.0,inf,1.0,1.0,1.0,1.0
basket_return_le_3%,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,1,0.15777537796976243,0.1185348076392779,0.1185348076392779,1.0,0.001185348076392779,0.0,0.0,inf,1.0,1.0,1.0,1.0
breadth_down_2pct_ge_4,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,9,1.4199784017278618,-0.0711948860327694,0.28158008296718334,0.6666666666666666,-0.006407539742949246,-0.05661086268832989,-0.119899476217017,0.8992239759013139,,,0.625,0.0
breadth_down_2pct_ge_4,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,12,1.8933045356371492,-0.21480787030454038,0.20005744530323058,0.5833333333333334,-0.025776944436544845,-0.05160702384972349,-0.36079921949904403,0.7724168817376382,,,0.5,0.0
breadth_down_2pct_ge_5,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,7,1.1044276457883369,-0.27986166111126226,0.28158008296718334,0.7142857142857143,-0.01959031627778836,-0.05661086268832989,-0.40219697311506186,0.6539477522954826,,,0.7142857142857143,0.0
breadth_down_2pct_ge_5,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,10,1.5777537796976242,-0.38959720971383954,0.20005744530323058,0.6,-0.038959720971383956,-0.05160702384972349,-0.5752848421391479,0.6334677331660481,,,0.5714285714285714,0.0
breadth_down_2pct_ge_6,bottom_2_performer,next_open,scaled_exit_6_12,base,ETHUSDT,3,0.4733261339092873,-0.24871646599720598,0.1185348076392779,0.6666666666666666,-0.007461493979916179,-0.028341781593318384,-0.17780630902784558,0.7367316533948862,,,0.6666666666666666,0.0
breadth_down_2pct_ge_6,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,4,0.6311015118790497,0.5712746044951084,1.0440143806701103,0.75,0.022850984179804336,-0.028341781593318384,0.4446404895334359,1.8062649168530565,0.8618858331019188,1.0,1.0,1.0
basket_return_le_1%,rel_basket_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,5,0.7888768898488121,0.8411644271709519,0.6675457405872798,0.8,0.042058221358547594,-0.023517552545433952,0.8448996910933798,2.7883757792097885,0.926217820767029,1.0,0.6666666666666666,1.0
basket_return_le_1%,rel_btc_le_2%,next_open,scaled_exit_6_12,base,ETHUSDT,1,0.15777537796976243,0.6649000561594698,0.6649000561594698,1.0,0.006649000561594698,0.0,0.0,inf,1.0,1.0,1.0,1.0
basket_return_le_1%,rel_basket_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,12,1.8933045356371492,-0.1836253849452305,-0.2835112498229269,0.4166666666666667,-0.022035046193427662,-0.055061163811459486,-0.3223435281652397,0.7819860184231295,,,0.42857142857142855,0.0
btc_return_le_1%,rel_basket_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,2,0.31555075593952486,0.6662228983733748,0.6662228983733748,1.0,0.013324457967467496,0.0,503.62990488994325,inf,0.5009927925151888,1.0,1.0,1.0
btc_return_le_1%,rel_btc_le_2%,next_open,scaled_exit_6_12,base,ETHUSDT,1,0.15777537796976243,0.6649000561594698,0.6649000561594698,1.0,0.006649000561594698,0.0,0.0,inf,1.0,1.0,1.0,1.0
btc_return_le_1%,rel_basket_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,8,1.2622030237580995,-0.8471949585108987,-0.5116004011085756,0.25,-0.0677755966808719,-0.0744245972424666,-1.8095801738136164,0.12253693180642221,,,0.3333333333333333,0.0
btc_return_le_1%,bottom_1_performer,next_open,scaled_exit_6_12,base,ETHUSDT,23,3.6288336933045358,0.06765220980407119,0.47379431921275256,0.6086956521739131,0.015560008254936373,-0.09172303262307714,0.20440684141667062,1.1202820224338101,4.356195117912752,1.0,0.4444444444444444,1.0
basket_return_le_2%,rel_basket_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,2,0.31555075593952486,0.6662228983733748,0.6662228983733748,1.0,0.013324457967467496,0.0,503.62990488994325,inf,0.5009927925151888,1.0,1.0,1.0
basket_return_le_2%,rel_btc_le_2%,next_open,scaled_exit_6_12,base,ETHUSDT,1,0.15777537796976243,0.6649000561594698,0.6649000561594698,1.0,0.006649000561594698,0.0,0.0,inf,1.0,1.0,1.0,1.0
basket_return_le_2%,rel_basket_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,2,0.31555075593952486,0.4732400695633266,0.4732400695633266,1.0,0.009464801391266531,0.0,2.4691646804740492,inf,0.7024976316703211,1.0,1.0,1.0
basket_return_le_2%,bottom_1_performer,next_open,scaled_exit_6_12,base,ETHUSDT,5,0.7888768898488121,0.14986833481660736,0.6649000561594698,0.8,0.0074934167408303685,-0.028341781593318384,0.1875834974033541,1.2643946964363366,2.6282989747113636,1.0,0.8,1.0
breadth_down_1pct_ge_4,rel_basket_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,5,0.7888768898488121,0.8411644271709519,0.6675457405872798,0.8,0.042058221358547594,-0.023517552545433952,0.8448996910933798,2.7883757792097885,0.926217820767029,1.0,0.6666666666666666,1.0
breadth_down_1pct_ge_4,rel_btc_le_2%,next_open,scaled_exit_6_12,base,ETHUSDT,1,0.15777537796976243,0.6649000561594698,0.6649000561594698,1.0,0.006649000561594698,0.0,0.0,inf,1.0,1.0,1.0,1.0
breadth_down_1pct_ge_4,rel_basket_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,14,2.2088552915766737,-0.16106190739312543,-0.26312845906028887,0.42857142857142855,-0.02254866703503756,-0.055061163811459486,-0.33130606073989755,0.7830292999732594,,,0.5,0.0
breadth_down_1pct_ge_5,rel_basket_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,5,0.7888768898488121,0.8411644271709519,0.6675457405872798,0.8,0.042058221358547594,-0.023517552545433952,0.8448996910933798,2.7883757792097885,0.926217820767029,1.0,0.6666666666666666,1.0
