event_definition,dislocation_definition,exit_model,friction_case,total_trades_next_open,avg_return_pct_next_open,median_return_pct_next_open,cumulative_return_units_next_open,total_trades_next_close,avg_return_pct_next_close,median_return_pct_next_close,cumulative_return_units_next_close,avg_return_delta_close_minus_open_pct,cum_return_delta_close_minus_open
basket_return_le_2%,bottom_3_performer,fixed_horizon_6,base,114,0.7503691929515891,0.3544179716089691,0.8554208799648116,114,1.0360335502845006,0.2238933513628494,1.1810782473243309,0.2856643573329115,0.3256573673595192
basket_return_le_2%,bottom_3_performer,fixed_horizon_6,stress,114,0.569589163383406,0.17403369558322462,0.649331646257083,114,0.854967998977093,0.04363953479284324,0.9746635188338859,0.28537883559368693,0.32533187257680296
basket_return_le_2%,bottom_3_performer,scaled_exit_6_12,base,114,0.9258254216274066,0.3707900836528966,1.0554409806552434,114,1.216561131042943,0.1825760733004939,1.386879689388955,0.2907357094155364,0.3314387087337116
basket_return_le_2%,bottom_3_performer,scaled_exit_6_12,stress,114,0.7448700234271802,0.19038944368890326,0.8491518267069855,114,1.0353151422832858,0.0023635533808925814,1.1802592622029457,0.2904451188561056,0.3311074354959602
basket_return_le_2%,rel_basket_le_-1_atr_equiv,fixed_horizon_12,base,26,2.7687732834971635,0.53139171449327,0.7198810537092626,26,1.7179621134959657,0.2933218515575842,0.4466701495089511,-1.0508111700011977,-0.27321090420031147
basket_return_le_2%,rel_basket_le_-1_atr_equiv,fixed_horizon_12,stress,26,2.585975857527937,0.3508305530789003,0.6723537229572636,26,1.5362149740786126,0.11299864114962437,0.39941589326043925,-1.0497608834493244,-0.27293782969682434
basket_return_le_2%,rel_basket_le_-1_atr_equiv,fixed_horizon_6,base,26,1.7802477407598702,0.3346248789786311,0.4628644125975662,26,0.727519877840036,0.4837923601828687,0.1891551682384094,-1.0527278629198342,-0.27370924435915683
basket_return_le_2%,rel_basket_le_-1_atr_equiv,fixed_horizon_6,stress,26,1.5984383468113879,0.1542603861638005,0.41559397017096084,26,0.5467626861794304,0.30327877435881073,0.1421582984066519,-1.0516756606319575,-0.27343567176430894
basket_return_le_2%,rel_basket_le_-1_atr_equiv,scaled_exit_6_12,base,26,2.274510512128517,0.3411009821567857,0.5913727331534144,26,1.2227409956680009,0.5749960958155909,0.3179126588736802,-1.0517695164605163,-0.27346007427973423
basket_return_le_2%,rel_basket_le_-1_atr_equiv,scaled_exit_6_12,stress,26,2.092207102169662,0.160730016471979,0.5439738465641122,26,1.0414888301290215,0.39439135178940715,0.2707870958335456,-1.0507182720406407,-0.2731867507305666
basket_return_le_2%,rel_basket_le_1%,fixed_horizon_12,base,21,6.139586827822577,3.023683359427145,1.289313233842741,21,4.790219284372213,1.5720847580302253,1.005946049718165,-1.3493675434503638,-0.2833671841245762
basket_return_le_2%,rel_basket_le_1%,fixed_horizon_12,stress,21,5.953420271189789,2.840631150645994,1.2502182569498559,21,4.6054014216102965,1.3904834231389707,0.9671342985381624,-1.3480188495794927,-0.28308395841169354
basket_return_le_2%,rel_basket_le_1%,fixed_horizon_6,base,21,5.135149873031717,2.4638086668705617,1.0783814733366606,21,3.777699826099526,1.2752121975744404,0.7933169634809004,-1.3574500469321915,-0.28506450985576015
basket_return_le_2%,rel_basket_le_1%,fixed_horizon_6,stress,21,4.949987251887945,2.2813160532641867,1.0394973228964686,21,3.5938939772949063,1.0939075870298343,0.7547177352319303,-1.356093274593039,-0.28477958766453826
basket_return_le_2%,rel_basket_le_1%,scaled_exit_6_12,base,21,5.637368350427146,2.87312739914263,1.1838473535897007,21,4.28395955523587,1.4505130418890813,0.8996315065995327,-1.3534087951912763,-0.284215846990168
basket_return_le_2%,rel_basket_le_1%,scaled_exit_6_12,stress,21,5.451703761538868,2.6902256711566035,1.1448577899231622,21,4.099647699452602,1.2690332180192154,0.8609260168850463,-1.352056062086266,-0.2839317730381159
basket_return_le_2%,rel_basket_le_2%,fixed_horizon_12,base,10,10.237369255319846,6.1215941090864066,1.0237369255319846,10,5.909005755068963,2.2971555511944763,0.5909005755068963,-4.328363500250883,-0.43283635002508825
basket_return_le_2%,rel_basket_le_2%,fixed_horizon_12,stress,10,10.047106962080003,5.935445536189481,1.0047106962080001,10,5.723069664391197,2.114829507502119,0.5723069664391197,-4.324037297688806,-0.4324037297688804
basket_return_le_2%,rel_basket_le_2%,fixed_horizon_6,base,10,7.981433217543585,9.170649033575021,0.7981433217543585,10,3.6437029377521455,2.0115825806518073,0.3643702937752145,-4.337730279791439,-0.433773027979144
basket_return_le_2%,rel_basket_le_2%,fixed_horizon_6,stress,10,7.7934257340640345,8.981452927996164,0.7793425734064034,10,3.460031018937844,1.8295419673575002,0.3460031018937844,-4.3333947151261905,-0.43333947151261903
basket_return_le_2%,rel_basket_le_2%,scaled_exit_6_12,base,10,9.109401236431717,7.646121571330713,0.9109401236431717,10,4.776354346410554,1.6146937631077738,0.4776354346410554,-4.333046890021163,-0.4333046890021163
basket_return_le_2%,rel_basket_le_2%,scaled_exit_6_12,stress,10,8.920266348072017,7.458449232092823,0.8920266348072017,10,4.5915503416645205,1.4330498404840288,0.4591550341664521,-4.328716006407497,-0.4328716006407496
basket_return_le_2%,rel_basket_le_3%,fixed_horizon_12,base,4,25.885520957775356,25.093681800831224,1.0354208383110142,4,2.000887188781833,3.15150356713175,0.08003548755127332,-23.884633768993524,-0.9553853507597408
basket_return_le_2%,rel_basket_le_3%,fixed_horizon_12,stress,4,25.679618325182552,24.888570612069174,1.027184733007302,4,1.818857265539727,2.9683236019572337,0.07275429062158908,-23.860761059642826,-0.954430442385713
basket_return_le_2%,rel_basket_le_3%,fixed_horizon_6,base,4,22.56016912758761,21.94057108960904,0.9024067651035044,4,-0.6364574305177345,0.40499550478611746,-0.02545829722070938,-23.196626558105343,-0.9278650623242137
